Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,355.0,442.0,4.0,24.67,12.0,44.0,24.33,2.0,4.67,6.0,34.0,NA,NA,NA,3.67,13.0,89.0,0.0,158.67,NA,NA,7.0,726.0,1.0
2026-01-01 01:00:00,342.0,426.0,NA,11.5,4.0,43.5,22.25,1.75,4.25,5.25,25.0,NA,NA,NA,2.0,12.75,89.0,0.0,160.75,NA,NA,7.0,726.0,1.0
2026-01-01 02:00:00,272.0,345.0,2.33,13.5,8.0,39.5,21.5,1.0,4.0,4.25,13.5,NA,NA,NA,1.0,12.5,90.0,0.0,168.0,NA,NA,7.0,726.0,1.0
2026-01-01 03:00:00,269.0,362.0,12.0,11.5,7.5,37.25,17.75,1.0,3.75,4.0,10.0,NA,NA,NA,1.0,13.0,89.75,0.0,174.0,NA,NA,7.0,726.25,1.0
2026-01-01 04:00:00,247.0,331.0,10.0,8.5,6.0,32.75,17.25,1.0,4.67,3.5,8.25,NA,NA,NA,0.0,13.0,89.0,0.0,158.5,NA,NA,7.0,727.0,1.0
2026-01-01 05:00:00,252.0,346.0,4.33,7.75,5.75,30.75,17.5,1.0,2.25,3.0,7.0,NA,NA,NA,0.0,13.0,89.0,0.0,166.25,NA,NA,7.0,727.0,1.0
2026-01-01 06:00:00,239.0,310.0,5.67,12.5,9.75,27.5,17.75,1.0,2.5,3.0,7.0,NA,NA,NA,0.0,13.0,88.75,0.0,168.25,NA,NA,7.0,727.0,1.0
2026-01-01 07:00:00,218.0,284.0,5.5,8.5,9.25,30.25,19.5,1.0,3.0,3.0,14.0,NA,NA,NA,0.25,13.0,85.0,0.0,171.5,NA,NA,8.5,727.0,1.0
2026-01-01 08:00:00,232.0,312.0,12.75,12.25,16.75,33.5,20.75,1.0,2.75,3.75,12.25,NA,NA,NA,0.5,13.0,83.75,0.0,189.75,NA,NA,73.25,726.0,1.0
2026-01-01 09:00:00,242.0,334.0,6.67,15.5,11.75,38.75,21.25,1.0,3.0,4.0,9.5,NA,NA,NA,0.5,13.0,83.5,0.0,169.0,NA,NA,166.25,726.0,1.0
2026-01-01 10:00:00,234.0,299.0,4.33,12.5,9.25,37.75,20.5,1.0,3.0,4.0,13.5,NA,NA,NA,1.0,14.0,78.75,0.0,161.0,NA,NA,293.0,726.0,1.0
2026-01-01 11:00:00,241.0,285.0,7.75,10.25,11.75,39.5,21.75,1.0,2.0,4.0,16.25,NA,NA,NA,1.0,14.5,77.25,0.0,179.0,NA,NA,312.25,726.0,1.0
2026-01-01 12:00:00,230.0,276.0,1.33,13.25,7.75,37.25,21.5,1.0,1.25,4.0,12.75,NA,NA,NA,1.0,14.0,72.5,0.0,171.75,NA,NA,302.75,726.0,1.0
2026-01-01 13:00:00,240.0,295.0,NA,18.75,7.0,33.75,18.5,1.0,1.25,4.0,16.0,NA,NA,NA,1.0,15.25,71.5,0.0,157.5,NA,NA,310.5,726.25,1.0
2026-01-01 14:00:00,227.0,296.0,4.67,14.5,9.25,30.75,18.0,1.0,0.75,4.0,13.0,NA,NA,NA,1.0,16.5,67.5,0.0,196.25,NA,NA,299.75,727.0,1.0
2026-01-01 15:00:00,253.0,326.0,8.33,22.5,16.0,28.5,19.75,1.0,1.75,4.25,20.5,NA,NA,NA,1.25,16.0,69.5,0.0,136.0,NA,NA,246.25,727.0,1.0
2026-01-01 16:00:00,245.0,362.0,21.0,20.5,10.0,30.5,19.25,1.0,6.67,4.25,31.75,NA,NA,NA,1.5,15.0,73.25,0.0,86.25,NA,NA,146.0,727.0,1.0
2026-01-01 17:00:00,232.0,390.0,13.33,20.5,18.5,31.0,19.25,1.5,3.5,4.5,65.0,NA,NA,NA,2.25,14.5,75.75,0.0,94.75,NA,NA,66.0,727.0,1.0
2026-01-01 18:00:00,262.0,473.0,17.33,28.75,23.25,33.75,22.75,2.0,4.0,5.25,36.0,NA,NA,NA,3.75,14.75,78.75,0.0,91.5,NA,NA,7.25,726.0,1.0
2026-01-01 19:00:00,344.0,599.0,14.0,30.0,22.25,42.0,25.0,2.75,4.0,7.5,45.0,NA,NA,NA,8.25,15.0,83.75,0.0,160.0,NA,NA,7.0,726.0,1.0
2026-01-01 20:00:00,346.0,563.0,5.0,27.5,17.0,42.5,25.5,2.75,4.0,8.25,43.25,NA,NA,NA,8.75,14.5,83.0,0.0,172.75,NA,NA,7.0,726.0,1.0
2026-01-01 21:00:00,293.0,433.0,6.67,23.75,16.0,42.0,23.5,2.0,4.0,7.25,44.25,NA,NA,NA,6.0,14.0,83.0,0.0,115.25,NA,NA,7.0,726.0,1.0
2026-01-01 22:00:00,268.0,393.0,0.0,19.75,7.5,42.5,23.75,1.75,3.75,6.25,34.25,NA,NA,NA,4.5,14.75,82.75,0.0,165.0,NA,NA,6.75,726.0,1.0
2026-01-01 23:00:00,248.0,346.0,NA,18.75,5.5,37.75,20.75,1.0,3.25,4.5,24.25,NA,NA,NA,2.5,15.0,83.0,0.0,101.25,NA,NA,7.0,726.25,1.0
2026-01-02 00:00:00,194.0,279.0,2.0,14.75,7.67,32.75,19.25,1.0,3.75,4.0,25.0,NA,NA,NA,2.0,14.5,84.0,0.0,88.5,NA,NA,6.25,727.0,1.0
2026-01-02 01:00:00,167.0,229.0,7.0,7.75,6.5,31.5,18.75,1.0,2.25,3.25,20.25,NA,NA,NA,1.0,14.0,84.25,0.0,122.0,NA,NA,6.75,727.0,1.0
2026-01-02 02:00:00,79.0,132.0,2.0,8.0,5.0,29.75,18.25,1.0,2.25,2.25,10.0,NA,NA,NA,0.5,14.0,85.0,0.0,145.75,NA,NA,6.5,727.0,1.0
2026-01-02 03:00:00,78.0,101.0,4.5,5.5,4.0,31.5,20.75,1.0,2.75,2.0,9.5,NA,NA,NA,0.0,14.0,84.0,0.0,147.0,NA,NA,6.25,727.0,1.0
2026-01-02 04:00:00,95.0,132.0,12.67,13.75,15.0,34.25,23.0,1.0,3.25,2.75,8.25,NA,NA,NA,0.5,13.5,83.5,0.0,136.5,NA,NA,6.0,726.0,1.0
2026-01-02 05:00:00,105.0,144.0,6.25,5.25,8.25,40.0,20.75,1.0,3.25,3.0,8.0,NA,NA,NA,0.0,13.0,84.0,0.0,143.75,NA,NA,6.0,726.0,1.0
2026-01-02 06:00:00,87.0,134.0,7.67,15.0,10.75,41.0,20.75,1.0,4.0,2.25,8.25,NA,NA,NA,0.0,12.25,86.5,0.0,128.25,NA,NA,6.0,726.0,1.0
2026-01-02 07:00:00,95.0,162.0,10.33,15.75,14.0,40.0,23.5,1.0,4.25,3.25,9.5,NA,NA,NA,1.0,12.75,87.25,0.0,161.75,NA,NA,8.0,726.0,1.0
2026-01-02 08:00:00,112.0,164.0,13.33,16.5,16.5,39.0,23.75,1.0,4.0,3.0,15.25,NA,NA,NA,1.0,13.5,84.0,0.0,153.75,NA,NA,141.0,726.0,1.0
2026-01-02 09:00:00,101.0,185.0,NA,15.0,2.75,35.5,21.75,1.0,3.25,3.25,12.5,NA,NA,NA,1.0,14.25,82.0,0.0,126.25,NA,NA,161.75,726.25,1.0
2026-01-02 10:00:00,70.0,150.0,5.0,16.0,10.67,30.75,19.5,1.0,2.0,3.0,9.75,NA,NA,NA,1.0,14.25,75.75,0.0,111.0,NA,NA,228.5,727.0,1.0
2026-01-02 11:00:00,88.0,163.0,5.25,4.5,7.0,27.5,21.0,1.0,0.0,2.5,10.0,NA,NA,NA,1.0,14.25,72.25,0.0,104.0,NA,NA,244.75,727.0,1.0
2026-01-02 12:00:00,69.0,100.0,6.0,3.0,6.33,27.25,21.75,0.0,0.0,2.0,12.0,NA,NA,NA,1.0,15.75,66.75,0.0,122.75,NA,NA,307.5,727.0,1.0
2026-01-02 13:00:00,97.0,178.0,9.0,6.75,9.0,27.5,20.25,0.25,0.0,2.0,20.5,NA,NA,NA,1.25,16.25,62.25,0.0,97.25,NA,NA,305.5,727.0,1.0
2026-01-02 14:00:00,103.0,216.0,11.0,4.5,12.0,32.75,25.0,0.0,NA,2.0,16.5,NA,NA,NA,1.0,16.5,60.5,0.0,102.0,NA,NA,297.25,726.0,1.0
