Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,210.0,354.0,1.67,28.67,17.0,52.33,5.67,1.0,7.0,5.0,10.67,NA,1.33,2.0,0.67,13.0,90.33,1.67,128.33,0.0,0.0,5.0,997.0,NA
2026-01-01 01:00:00,221.0,356.0,0.5,28.5,15.75,54.0,6.0,1.0,8.0,4.25,9.0,NA,1.0,1.25,0.0,13.0,90.0,1.75,137.5,0.0,0.0,5.0,997.0,NA
2026-01-01 02:00:00,235.0,362.0,1.0,26.0,15.0,55.0,6.0,1.0,8.5,4.0,7.5,NA,1.0,1.0,0.0,13.0,89.75,1.75,163.5,0.0,0.0,5.0,997.0,NA
2026-01-01 03:00:00,202.0,318.0,0.5,20.0,11.25,46.0,6.0,1.0,8.75,3.0,6.5,NA,0.25,1.0,0.0,13.0,89.5,0.75,170.5,0.0,0.0,5.0,997.0,NA
2026-01-01 04:00:00,200.0,317.0,0.75,16.0,9.25,40.0,6.0,1.0,10.5,3.0,6.0,NA,0.0,1.0,0.0,13.0,89.0,1.75,139.5,0.0,0.0,5.0,997.0,NA
2026-01-01 05:00:00,184.0,307.0,0.0,12.75,6.75,37.0,6.25,1.0,13.75,3.0,5.25,NA,0.0,0.0,0.0,13.0,90.75,2.25,130.0,0.25,1.0,5.0,997.0,NA
2026-01-01 06:00:00,157.0,285.0,0.5,13.25,7.5,36.5,6.0,1.0,14.25,2.0,4.25,NA,0.0,0.0,0.0,13.0,93.0,1.0,138.75,0.0,0.0,5.0,997.0,NA
2026-01-01 07:00:00,136.0,263.0,0.25,13.5,7.75,37.5,6.0,1.0,14.75,2.0,4.0,NA,0.0,0.0,0.0,13.0,92.25,1.25,138.75,0.0,0.0,6.5,997.0,NA
2026-01-01 08:00:00,138.0,259.0,1.0,14.0,8.25,38.75,6.25,1.0,15.0,2.0,3.25,NA,0.0,0.0,0.0,13.0,90.5,1.0,154.75,0.0,0.0,15.5,997.0,NA
2026-01-01 09:00:00,149.0,278.0,1.5,14.33,9.25,39.75,6.0,1.0,15.25,2.0,4.0,NA,0.0,0.0,0.0,13.0,89.25,1.25,147.0,0.0,0.0,34.25,997.0,NA
2026-01-01 10:00:00,154.0,271.0,3.25,15.25,10.75,40.25,6.0,1.0,15.75,2.0,4.25,NA,0.0,0.0,0.0,13.75,87.25,1.75,150.25,0.0,0.0,54.5,997.0,NA
2026-01-01 11:00:00,171.0,277.0,4.0,17.67,12.75,43.5,6.75,1.0,17.5,2.0,5.25,NA,0.0,0.0,0.0,14.25,83.0,1.0,153.0,0.0,0.0,103.0,997.0,NA
