Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,183.00,388.00,97.43,56.90,109.73,98.20,7.03,2.97,NA,4.23,17.47,NA,NA,NA,NA,12.73,92.00,0.60,224.00,0.00,0.00,6.67,986.00,NA
2025-01-01 01:00:00,196.00,331.00,74.57,53.50,89.25,101.52,6.68,2.51,NA,3.95,13.65,NA,NA,NA,NA,12.60,91.00,0.68,224.00,0.00,0.00,6.50,986.00,NA
2025-01-01 02:00:00,160.00,255.00,49.00,54.40,68.60,92.40,3.90,1.89,NA,2.65,7.80,NA,NA,NA,NA,12.58,91.00,0.75,225.75,0.00,0.00,6.25,986.00,NA
2025-01-01 03:00:00,136.00,202.00,33.88,51.98,55.20,93.38,3.32,1.69,NA,2.40,6.35,NA,NA,NA,NA,12.58,91.00,0.73,241.75,0.00,0.00,6.50,986.00,NA
2025-01-01 04:00:00,124.00,174.00,16.10,44.18,36.58,94.85,2.35,1.44,NA,2.20,5.78,NA,NA,NA,NA,12.60,91.00,0.78,241.75,0.00,0.00,6.75,986.00,NA
2025-01-01 05:00:00,108.00,155.00,18.82,47.30,40.58,96.73,2.55,1.44,NA,2.40,10.18,NA,NA,NA,NA,12.58,91.00,0.78,240.50,0.00,0.00,6.75,986.00,NA
2025-01-01 06:00:00,122.00,174.00,29.90,44.68,48.12,96.00,2.62,1.48,NA,2.75,14.85,NA,NA,NA,NA,12.60,91.00,0.78,252.25,0.00,0.00,5.75,986.00,NA
2025-01-01 07:00:00,106.00,158.00,53.80,44.85,67.38,84.82,3.15,1.64,NA,2.45,9.82,NA,NA,NA,NA,12.55,91.00,0.77,248.25,0.00,0.00,8.25,986.00,NA
2025-01-01 08:00:00,103.00,168.00,62.88,48.12,76.32,85.65,3.50,1.66,0.60,2.53,7.90,NA,NA,NA,NA,12.92,91.75,0.85,243.50,0.00,0.00,23.75,986.00,NA
2025-01-01 09:00:00,119.00,196.00,22.70,60.97,50.55,94.30,1.75,1.26,8.93,2.28,6.68,NA,NA,NA,NA,13.30,90.75,1.20,267.75,0.00,0.00,48.50,986.00,NA
