Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,231.75,358.0,25.5,49.5,47.0,16.5,14.25,1.0,28.75,2.0,1.0,NA,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-01 01:00:00,214.75,320.25,24.25,47.75,45.5,16.25,13.0,1.0,28.0,2.0,1.0,NA,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-01 02:00:00,194.75,305.5,22.75,44.25,41.75,13.5,13.0,0.25,28.5,2.0,1.0,NA,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-01 03:00:00,181.5,285.25,22.5,42.0,40.75,13.25,13.0,0.0,28.25,2.0,1.0,NA,1.0,1.25,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-01 04:00:00,181.25,292.0,22.75,41.25,41.0,14.25,6.0,1.0,28.0,2.0,1.0,NA,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-01 05:00:00,173.0,274.75,22.75,44.75,42.5,13.25,2.0,1.0,28.5,2.0,1.0,NA,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-01 06:00:00,159.0,248.75,23.0,45.5,43.0,13.25,2.25,1.0,28.5,2.0,1.0,NA,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-01 07:00:00,154.75,240.5,21.5,44.75,41.5,13.25,2.0,1.0,28.75,2.0,1.0,NA,1.0,1.5,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-01 08:00:00,160.75,235.5,23.5,50.75,46.25,13.0,7.5,1.0,29.0,2.5,2.0,NA,2.0,2.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-01 09:00:00,173.0,255.5,24.5,53.0,48.25,14.0,10.5,1.0,29.0,2.75,2.0,NA,2.0,2.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-01 10:00:00,190.0,273.25,23.25,46.75,44.25,14.25,10.0,1.0,29.0,3.0,2.0,NA,2.0,2.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-01 11:00:00,201.67,282.33,23.33,48.0,44.67,14.0,10.75,1.0,29.33,3.0,2.0,NA,2.0,2.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-01 12:00:00,189.75,254.0,24.25,54.0,48.75,14.5,6.0,1.0,29.25,3.0,2.0,NA,2.0,2.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-01-01 13:00:00,196.0,265.0,25.0,55.5,50.25,15.25,4.0,1.0,29.25,2.0,2.0,NA,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
