Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 17:00:00,209.00,323.00,22.00,52.20,45.72,39.45,16.90,1.47,15.62,1.45,4.50,NA,NA,NA,NA,13.22,80.50,0.50,189.75,0.00,0.00,16.75,975.00,NA
2025-01-01 18:00:00,268.00,406.00,27.60,53.35,50.92,39.10,19.58,1.97,10.42,2.22,7.78,NA,NA,NA,NA,12.68,84.50,0.52,191.50,0.00,0.00,7.00,975.50,NA
2025-01-01 19:00:00,280.00,436.00,34.58,62.02,61.22,38.30,21.83,2.41,6.05,4.28,17.02,NA,NA,NA,NA,12.35,86.50,0.43,186.25,0.00,0.00,7.00,975.00,NA
2025-01-01 20:00:00,316.00,481.00,61.03,62.62,82.95,37.75,17.97,2.64,4.90,4.53,19.67,NA,NA,NA,NA,12.12,88.75,0.40,192.75,0.00,0.00,7.00,975.00,NA
2025-01-01 21:00:00,366.00,588.00,52.82,60.97,75.08,37.75,18.53,2.17,5.85,6.55,22.85,NA,NA,NA,NA,11.85,90.50,0.35,182.25,0.00,0.00,7.00,975.00,NA
2025-01-01 22:00:00,281.00,467.00,53.70,50.78,70.25,38.05,17.05,1.75,5.82,4.15,15.65,NA,NA,NA,NA,11.72,91.25,0.35,186.50,0.00,0.00,7.00,975.00,NA
2025-01-01 23:00:00,240.00,410.00,29.33,48.03,49.47,38.70,14.90,0.78,5.47,2.63,11.53,NA,NA,NA,NA,11.97,90.33,0.60,176.67,0.00,0.00,7.00,975.00,NA
2025-01-02 00:00:00,157.00,285.00,12.27,36.15,28.98,39.65,11.52,0.30,9.68,1.98,4.95,NA,NA,NA,NA,12.10,89.75,0.55,181.75,0.00,0.00,7.00,975.00,NA
2025-01-02 01:00:00,144.00,244.00,10.20,28.45,23.05,40.88,9.55,0.49,13.40,1.35,2.75,NA,NA,NA,NA,11.95,90.00,0.50,202.25,0.00,0.00,7.00,975.00,NA
2025-01-02 02:00:00,151.00,243.00,5.40,34.40,22.70,41.00,NA,0.00,18.47,0.95,2.48,NA,NA,NA,NA,11.85,90.00,0.50,199.75,0.00,0.00,7.00,975.00,NA
2025-01-02 03:00:00,150.00,246.00,6.88,21.22,16.90,39.65,13.88,0.64,20.10,1.70,4.60,NA,NA,NA,NA,11.73,90.25,0.55,192.25,0.00,0.00,7.00,975.00,NA
2025-01-02 04:00:00,186.00,302.00,7.58,20.27,16.92,41.00,14.05,0.66,22.10,0.80,2.05,NA,NA,NA,NA,11.65,90.50,0.57,213.00,0.00,0.00,6.75,975.00,NA
2025-01-02 05:00:00,161.00,254.00,7.57,25.28,19.55,41.85,12.88,0.75,20.05,0.62,1.70,NA,NA,NA,NA,11.72,91.50,0.60,215.00,0.00,0.00,6.75,975.00,NA
2025-01-02 06:00:00,187.00,321.00,7.65,26.30,20.10,42.22,12.88,0.83,15.60,1.30,3.20,NA,NA,NA,NA,11.78,92.25,0.55,224.00,0.00,0.00,7.00,975.00,NA
2025-01-02 07:00:00,172.00,301.00,12.58,27.85,24.98,41.80,12.92,0.97,12.88,0.70,2.48,NA,NA,NA,NA,11.55,94.75,0.78,243.00,0.00,0.00,7.50,975.00,NA
