Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,291.0,403.0,6.67,36.0,24.67,28.67,12.0,1.0,4.33,NA,NA,NA,NA,NA,NA,12.0,87.0,0.67,150.0,NA,NA,8.0,NA,0.0
2026-01-01 01:00:00,298.0,398.0,5.0,32.0,21.25,27.75,12.25,0.5,4.5,NA,NA,NA,NA,NA,NA,12.0,87.0,0.5,136.25,NA,NA,7.5,NA,0.0
2026-01-01 02:00:00,266.0,367.0,5.0,29.0,19.5,27.25,11.75,0.0,5.0,NA,NA,NA,NA,NA,NA,12.0,87.0,0.75,131.75,NA,NA,7.75,NA,0.0
2026-01-01 03:00:00,246.0,353.0,2.75,25.0,15.75,26.75,12.25,0.0,7.5,NA,NA,NA,NA,NA,NA,12.0,85.75,0.75,140.0,NA,NA,7.75,NA,0.0
2026-01-01 04:00:00,232.0,312.0,2.25,22.0,13.5,26.5,13.0,0.0,8.75,NA,NA,NA,NA,NA,NA,12.0,85.0,0.75,138.5,NA,NA,7.5,NA,0.0
2026-01-01 05:00:00,226.0,318.0,3.5,24.5,16.0,26.75,13.5,0.0,7.5,NA,NA,NA,NA,NA,NA,12.0,86.5,0.5,148.0,NA,NA,8.0,NA,0.0
2026-01-01 06:00:00,228.0,315.0,2.75,22.75,14.5,26.25,11.5,0.0,10.5,NA,NA,NA,NA,NA,NA,12.0,87.5,0.5,135.0,NA,NA,8.0,NA,0.0
2026-01-01 07:00:00,186.0,267.0,3.0,22.0,14.5,25.75,12.0,0.0,8.5,NA,NA,NA,NA,NA,NA,12.0,88.0,0.0,155.25,NA,NA,8.75,NA,0.0
2026-01-01 08:00:00,186.0,262.0,3.25,22.75,14.75,25.75,10.0,0.0,11.25,NA,NA,NA,NA,NA,NA,12.0,85.75,0.0,144.5,NA,NA,17.5,NA,0.0
2026-01-01 09:00:00,178.0,246.0,3.0,22.5,15.0,26.25,12.0,0.0,9.5,NA,NA,NA,NA,NA,NA,12.0,83.5,0.25,155.5,NA,NA,31.0,NA,0.0
2026-01-01 10:00:00,195.0,266.0,3.5,23.25,15.5,26.25,12.0,0.0,9.75,NA,NA,NA,NA,NA,NA,12.0,81.75,1.0,134.75,NA,NA,45.25,NA,0.0
2026-01-01 11:00:00,204.0,267.0,5.0,26.5,18.5,26.5,10.75,0.0,8.75,NA,NA,NA,NA,NA,NA,12.75,78.0,0.25,169.75,NA,NA,98.0,NA,0.0
2026-01-01 12:00:00,218.0,304.0,4.75,31.25,20.25,26.75,13.0,0.0,15.0,NA,NA,NA,NA,NA,NA,13.75,72.25,0.25,143.75,NA,NA,133.75,NA,0.0
2026-01-01 13:00:00,224.0,316.0,4.5,35.5,22.5,27.0,11.25,0.0,17.0,NA,NA,NA,NA,NA,NA,14.5,66.5,0.0,174.0,NA,NA,152.75,NA,0.0
2026-01-01 14:00:00,239.0,362.0,3.5,39.5,24.0,28.5,13.25,0.0,22.0,NA,NA,NA,NA,NA,NA,15.0,64.75,0.0,190.5,NA,NA,113.5,NA,0.0
