Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2026-01-01 00:00:00,299.0,412.0,3.67,28.67,18.67,33.33,25.33,1.0,4.0,3.0,8.0,NA,NA,NA,0.0,12.0,92.0,1.0,164.67,NA,NA,5.0,986.0,0.0
2026-01-01 01:00:00,301.0,370.0,2.5,21.75,13.75,36.75,26.25,1.0,11.0,3.25,5.5,NA,NA,NA,0.0,11.5,92.0,0.75,170.0,NA,NA,5.0,986.0,0.0
2026-01-01 02:00:00,241.0,315.0,1.5,15.5,9.0,33.5,25.5,1.0,14.75,4.0,3.25,NA,NA,NA,0.0,11.75,92.0,1.0,161.5,NA,NA,5.0,986.0,0.0
2026-01-01 03:00:00,235.0,310.0,1.0,13.0,8.25,30.75,24.0,1.0,19.0,4.25,6.25,NA,NA,NA,0.0,12.0,92.0,0.25,172.5,NA,NA,5.0,986.0,0.0
2026-01-01 04:00:00,208.0,267.0,1.5,11.75,7.75,32.0,21.5,1.0,17.5,3.25,32.25,NA,NA,NA,0.0,11.25,92.0,0.25,194.25,NA,NA,5.0,986.0,0.25
2026-01-01 05:00:00,194.0,266.0,1.75,13.25,8.5,33.25,23.0,1.0,18.5,3.0,35.5,NA,NA,NA,0.0,11.25,92.0,1.0,168.75,NA,NA,5.0,986.0,0.25
2026-01-01 06:00:00,211.0,277.0,1.0,13.75,8.75,33.0,19.0,1.0,19.25,3.0,33.75,NA,NA,NA,0.0,11.0,92.0,1.0,166.5,NA,NA,5.0,986.0,0.0
2026-01-01 07:00:00,190.0,252.0,1.25,12.0,7.75,33.5,22.0,1.0,21.0,3.0,33.75,NA,NA,NA,0.0,11.0,92.0,1.0,152.0,NA,NA,5.0,986.0,0.0
2026-01-01 08:00:00,201.0,282.0,1.75,13.5,8.75,32.5,18.5,1.0,20.0,3.0,9.25,NA,NA,NA,0.0,11.0,92.0,0.75,169.75,NA,NA,5.0,986.0,0.0
2026-01-01 09:00:00,197.0,244.0,3.25,16.75,11.75,31.5,22.0,1.0,16.75,3.0,8.25,NA,NA,NA,0.0,11.75,91.5,0.5,175.25,NA,NA,10.75,986.0,0.0
