file_key,sheet,station_folder,n_rows,n_full_duplicate_rows,n_timestamp_duplicates,note
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",30,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",27,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_July_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_June_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",30,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_March_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_May_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_November_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",30,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_October_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_September_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",30,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",8784,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/Raw Data/2025_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",8760,0,0,cross-file overlap checked separately below
"Anand Vihar, Delhi - DPCC/Raw Data/2026_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",5088,0,0,cross-file overlap checked separately below
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",30,0,0,cross-file overlap checked separately below
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",31,0,0,cross-file overlap checked separately below
