file_key,station_folder,data_type,filename,extension,file_size_bytes,n_sheets,n_rows,n_cols,read_error
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx","Anand Vihar, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",.xlsx,8668,1,30,25,
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx","Anand Vihar, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",.xlsx,8704,1,31,25,
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx","Anand Vihar, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",.xlsx,8676,1,31,25,
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx","Anand Vihar, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",.xlsx,8254,1,27,25,
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_January_delhi_2025.xlsx","Anand Vihar, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",.xlsx,8646,1,31,25,
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_July_delhi_2025.xlsx","Anand Vihar, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_July_delhi_2025.xlsx",.xlsx,8639,1,31,25,
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_June_delhi_2025.xlsx","Anand Vihar, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_June_delhi_2025.xlsx",.xlsx,8584,1,30,25,
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_March_delhi_2025.xlsx","Anand Vihar, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_March_delhi_2025.xlsx",.xlsx,8741,1,31,25,
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_May_delhi_2025.xlsx","Anand Vihar, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_May_delhi_2025.xlsx",.xlsx,8732,1,31,25,
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_November_delhi_2025.xlsx","Anand Vihar, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_November_delhi_2025.xlsx",.xlsx,8614,1,30,25,
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_October_delhi_2025.xlsx","Anand Vihar, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_October_delhi_2025.xlsx",.xlsx,8777,1,31,25,
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_September_delhi_2025.xlsx","Anand Vihar, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_September_delhi_2025.xlsx",.xlsx,8628,1,30,25,
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv","Anand Vihar, Delhi - DPCC",Raw Data,"2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",.csv,996535,1,8784,25,
"Anand Vihar, Delhi - DPCC/Raw Data/2025_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv","Anand Vihar, Delhi - DPCC",Raw Data,"2025_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",.csv,1239834,1,8760,25,
"Anand Vihar, Delhi - DPCC/Raw Data/2026_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv","Anand Vihar, Delhi - DPCC",Raw Data,"2026_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",.csv,674981,1,5088,25,
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_April_delhi_2025.xlsx","Bawana, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",.xlsx,8682,1,30,25,
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_August_delhi_2025.xlsx","Bawana, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",.xlsx,8557,1,31,25,
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_December_delhi_2025.xlsx","Bawana, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",.xlsx,8712,1,31,25,
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_February_delhi_2025.xlsx","Bawana, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",.xlsx,8481,1,28,25,
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_January_delhi_2025.xlsx","Bawana, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",.xlsx,8731,1,31,25,
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_July_delhi_2025.xlsx","Bawana, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_July_delhi_2025.xlsx",.xlsx,8536,1,31,25,
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_June_delhi_2025.xlsx","Bawana, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_June_delhi_2025.xlsx",.xlsx,8517,1,30,25,
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_March_delhi_2025.xlsx","Bawana, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_March_delhi_2025.xlsx",.xlsx,8724,1,31,25,
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_May_delhi_2025.xlsx","Bawana, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_May_delhi_2025.xlsx",.xlsx,8796,1,31,25,
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_November_delhi_2025.xlsx","Bawana, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_November_delhi_2025.xlsx",.xlsx,8544,1,30,25,
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_October_delhi_2025.xlsx","Bawana, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_October_delhi_2025.xlsx",.xlsx,8719,1,31,25,
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_September_delhi_2025.xlsx","Bawana, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_September_delhi_2025.xlsx",.xlsx,8415,1,30,25,
"Bawana, Delhi - DPCC/Raw Data/2024_raw_data_hourly_bawana,_delhi_-_dpcc_1H.csv","Bawana, Delhi - DPCC",Raw Data,"2024_raw_data_hourly_bawana,_delhi_-_dpcc_1H.csv",.csv,1104729,1,8784,25,
"Bawana, Delhi - DPCC/Raw Data/2025_raw_data_hourly_bawana,_delhi_-_dpcc_1H.csv","Bawana, Delhi - DPCC",Raw Data,"2025_raw_data_hourly_bawana,_delhi_-_dpcc_1H.csv",.csv,1256474,1,8760,25,
"Bawana, Delhi - DPCC/Raw Data/2026_raw_data_hourly_bawana,_delhi_-_dpcc_1H.csv","Bawana, Delhi - DPCC",Raw Data,"2026_raw_data_hourly_bawana,_delhi_-_dpcc_1H.csv",.csv,680881,1,5088,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_April_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_April_delhi_2025.xlsx",.xlsx,8579,1,30,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_August_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_August_delhi_2025.xlsx",.xlsx,8684,1,31,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_December_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_December_delhi_2025.xlsx",.xlsx,8700,1,31,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_February_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_February_delhi_2025.xlsx",.xlsx,8468,1,28,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_January_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_January_delhi_2025.xlsx",.xlsx,8759,1,31,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_July_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_July_delhi_2025.xlsx",.xlsx,8630,1,31,25,
"Dwarka-Sector 8, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_June_delhi_2025.xlsx","Dwarka-Sector 8, Delhi - DPCC",AQI Hourly,"aqi_hourly_station_level_dwarka-sector_8,_delhi_-_dpcc__2025_June_delhi_2025.xlsx",.xlsx,8505,1,30,25,
