file_key,sheet,station_folder,col_name,semantic_role,min,max,mean,median,n_zeros,n_negative,n_sentinel,pct_missing
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",PM2.5 (µg/m³),PM2.5,1.0,998.0,141.8928,99.5,0,0,29,17.46
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",PM10 (µg/m³),PM10,1.0,998.0,315.6577,273.0,0,0,17,17.19
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",NO (µg/m³),NO,0.1,494.5,64.7715,30.7,0,0,2,14.06
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",NO2 (µg/m³),NO2,0.33,497.6,81.9033,71.15,0,0,4,13.92
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",NOx (ppb),NOx,0.0,494.5,96.0932,69.075,8,0,2,13.87
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",NH3 (µg/m³),NH3,0.1,279.5,37.1389,30.4,0,0,2,13.65
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",SO2 (µg/m³),SO2,0.1,154.9,17.5047,15.58,0,0,5,20.06
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",CO (mg/m³),CO,0.0,9.65,2.1072,1.69,1,0,0,15.0
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",Ozone (µg/m³),O3,0.4,483.2,42.105,25.82,0,0,4,17.68
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",Benzene (µg/m³),Benzene,0.0,60.8,2.573,1.35,151,0,5,16.66
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",Toluene (µg/m³),Toluene,0.0,459.1,37.7722,27.28,148,0,6,17.45
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",Xylene (µg/m³),Xylene,,,,,,,,
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",O Xylene (µg/m³),Xylene,,,,,,,,
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",Eth-Benzene (µg/m³),Benzene,,,,,,,,
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",MP-Xylene (µg/m³),Xylene,,,,,,,,
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",AT (°C),Temp_C,0.8,47.22,27.0614,30.38,0,0,0,13.3
