file_key,sheet,station_folder,data_type,col_name,inferred_dtype,semantic_role,sample_values,n_total,n_missing,pct_missing,completely_empty
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,Date,int,timestamp,1 | 2 | 3,30,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,00:00:00,int,unknown,158 | 169 | 247,30,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,01:00:00,int,unknown,158 | 170 | 253,30,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,02:00:00,int,unknown,150 | 173 | 262,30,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,03:00:00,float,unknown,150.0 | 173.0 | 268.0,30,1,3.33,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,04:00:00,float,unknown,145.0 | 183.0 | 267.0,30,2,6.67,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,05:00:00,int,unknown,144 | 192 | 262,30,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,06:00:00,int,unknown,145 | 200 | 262,30,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,07:00:00,int,unknown,148 | 203 | 269,30,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,08:00:00,int,unknown,154 | 203 | 272,30,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,09:00:00,int,unknown,163 | 204 | 268,30,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,10:00:00,int,unknown,164 | 211 | 269,30,0,0.0,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,11:00:00,float,unknown,163.0 | 214.0 | 276.0,30,1,3.33,False
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",AQI Hourly,12:00:00,int,unknown,161 | 215 | 279,30,0,0.0,False
