file_key,sheet,station_folder,ts_col_name,ts_format_sample,ts_min,ts_max,n_rows,n_ts_parsed,n_ts_null,n_ts_duplicates,apparent_freq_hours,gap_count,max_gap_hours,min_gap_hours,median_interval_hours,tz_info
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000030,30,30,0,0,0.0,0,0.0,0.0,0.0,none detected
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000027,27,27,0,0,0.0,0,0.0,0.0,0.0,none detected
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_July_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_June_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000030,30,30,0,0,0.0,0,0.0,0.0,0.0,none detected
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_March_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_May_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_November_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000030,30,30,0,0,0.0,0,0.0,0.0,0.0,none detected
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_October_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Anand Vihar, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_anand_vihar,_delhi_-_dpcc_2025_September_delhi_2025.xlsx",Sheet1,"Anand Vihar, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000030,30,30,0,0,0.0,0,0.0,0.0,0.0,none detected
"Anand Vihar, Delhi - DPCC/Raw Data/2024_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",Timestamp,2024-01-01 00:00:00,2024-01-01 00:00:00,2024-12-31 23:00:00,8784,8784,0,0,1.0,0,1.0,1.0,1.0,none detected
"Anand Vihar, Delhi - DPCC/Raw Data/2025_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",Timestamp,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-12-31 23:00:00,8760,8760,0,0,1.0,0,1.0,1.0,1.0,none detected
"Anand Vihar, Delhi - DPCC/Raw Data/2026_raw_data_hourly_anand_vihar,_delhi_-_dpcc_1H.csv",sheet1,"Anand Vihar, Delhi - DPCC",Timestamp,2026-01-01 00:00:00,2026-01-01 00:00:00,2026-08-31 23:00:00,5088,5088,0,0,1.0,1,745.0,1.0,1.0,none detected
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_April_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000030,30,30,0,0,0.0,0,0.0,0.0,0.0,none detected
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_August_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_December_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_February_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000028,28,28,0,0,0.0,0,0.0,0.0,0.0,none detected
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_January_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_July_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_June_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000030,30,30,0,0,0.0,0,0.0,0.0,0.0,none detected
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_March_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_May_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_November_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000030,30,30,0,0,0.0,0,0.0,0.0,0.0,none detected
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_October_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000031,31,31,0,0,0.0,0,0.0,0.0,0.0,none detected
"Bawana, Delhi - DPCC/AQI Hourly/aqi_hourly_station_level_bawana,_delhi_-_dpcc_2025_September_delhi_2025.xlsx",Sheet1,"Bawana, Delhi - DPCC",Date,1,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000030,30,30,0,0,0.0,0,0.0,0.0,0.0,none detected
