timestamp,station_name,aqi,pm25,pm10,so2,no2,co,ozone,temp,ws,rh,event_name
2023-11-10 00:00:00,Dwarka-Sector 8,,388.0,590.25,4.57,65.23,3.28,21.28,27.08,0.83,77.03,Diwali 2023 (Nov 12)
2023-11-10 01:00:00,Dwarka-Sector 8,,373.5,567.0,3.08,51.95,2.38,10.2,26.75,0.68,79.45,Diwali 2023 (Nov 12)
2023-11-10 02:00:00,Dwarka-Sector 8,,295.75,402.0,2.4,13.0,0.5,18.15,26.65,0.83,69.8,Diwali 2023 (Nov 12)
2023-11-10 03:00:00,Dwarka-Sector 8,,111.0,147.5,2.28,8.48,0.45,22.13,25.83,1.05,72.33,Diwali 2023 (Nov 12)
2023-11-10 04:00:00,Dwarka-Sector 8,,26.5,58.5,2.1,9.23,0.3,25.53,25.7,1.13,72.08,Diwali 2023 (Nov 12)
2023-11-10 05:00:00,Dwarka-Sector 8,,27.0,54.75,1.58,16.6,0.33,15.53,25.08,0.55,80.68,Diwali 2023 (Nov 12)
2023-11-10 06:00:00,Dwarka-Sector 8,,33.25,48.5,1.83,21.3,0.48,10.1,25.38,0.75,78.85,Diwali 2023 (Nov 12)
2023-11-10 07:00:00,Dwarka-Sector 8,,38.0,56.0,1.6,25.1,0.98,9.45,26.0,0.55,74.5,Diwali 2023 (Nov 12)
2023-11-10 08:00:00,Dwarka-Sector 8,,50.75,75.5,1.48,26.38,0.73,8.3,25.6,0.85,79.58,Diwali 2023 (Nov 12)
2023-11-10 09:00:00,Dwarka-Sector 8,,51.25,76.5,1.43,24.58,0.78,9.08,26.38,0.68,76.13,Diwali 2023 (Nov 12)
2023-11-10 10:00:00,Dwarka-Sector 8,,47.25,69.75,1.6,24.8,0.7,12.9,26.73,0.78,74.6,Diwali 2023 (Nov 12)
2023-11-10 11:00:00,Dwarka-Sector 8,,53.75,85.0,1.73,28.88,0.77,15.18,28.5,0.98,67.38,Diwali 2023 (Nov 12)
2023-11-10 12:00:00,Dwarka-Sector 8,,62.0,96.75,1.8,28.6,0.85,13.55,26.98,1.05,76.03,Diwali 2023 (Nov 12)
2023-11-10 13:00:00,Dwarka-Sector 8,,60.5,91.5,1.55,22.4,0.73,17.43,26.25,1.0,79.7,Diwali 2023 (Nov 12)
2023-11-10 14:00:00,Dwarka-Sector 8,,59.0,82.5,1.63,26.33,0.85,19.13,27.73,1.03,71.43,Diwali 2023 (Nov 12)
2023-11-10 15:00:00,Dwarka-Sector 8,,70.5,102.5,1.73,28.8,0.9,19.93,27.73,1.03,69.38,Diwali 2023 (Nov 12)
