station_id,station_name,start_time,end_time,peak_aqi,duration_hours,first_actual_crossing,horizon,lead_time_hours,detection
3,Anand Vihar,2025-11-02 08:00:00+05:30,2025-11-02 12:00:00+05:30,405.0,5.0,2025-11-02 08:00:00+05:30,1h,1.0,hit
3,Anand Vihar,2025-11-04 07:00:00+05:30,2025-11-04 11:00:00+05:30,418.0,5.0,2025-11-04 07:00:00+05:30,1h,0.0,hit
3,Anand Vihar,2025-11-08 18:00:00+05:30,2025-11-09 14:00:00+05:30,416.0,21.0,2025-11-08 18:00:00+05:30,1h,1.0,hit
3,Anand Vihar,2025-11-10 17:00:00+05:30,2025-11-16 15:00:00+05:30,453.0,143.0,2025-11-10 17:00:00+05:30,1h,1.0,hit
3,Anand Vihar,2025-11-18 13:00:00+05:30,2025-11-25 06:00:00+05:30,447.0,162.0,2025-11-18 13:00:00+05:30,1h,1.0,hit
3,Anand Vihar,2025-11-27 09:00:00+05:30,2025-11-28 08:00:00+05:30,420.0,24.0,2025-11-27 09:00:00+05:30,1h,1.0,hit
3,Anand Vihar,2025-12-02 12:00:00+05:30,2025-12-03 07:00:00+05:30,421.0,20.0,2025-12-02 12:00:00+05:30,1h,1.0,hit
3,Anand Vihar,2025-12-12 11:00:00+05:30,2025-12-16 08:00:00+05:30,493.0,94.0,2025-12-12 11:00:00+05:30,1h,2.0,hit
3,Anand Vihar,2025-12-18 03:00:00+05:30,2025-12-24 02:00:00+05:30,470.0,144.0,2025-12-18 03:00:00+05:30,1h,1.0,hit
3,Anand Vihar,2025-12-26 11:00:00+05:30,2025-12-31 22:00:00+05:30,463.0,132.0,2025-12-26 11:00:00+05:30,1h,1.0,hit
4,Bawana,2025-11-02 01:00:00+05:30,2025-11-02 14:00:00+05:30,418.0,14.0,2025-11-02 01:00:00+05:30,1h,1.0,hit
4,Bawana,2025-11-04 08:00:00+05:30,2025-11-04 11:00:00+05:30,409.0,4.0,2025-11-04 08:00:00+05:30,1h,0.0,hit
4,Bawana,2025-11-07 21:00:00+05:30,2025-11-24 18:00:00+05:30,466.0,406.0,2025-11-07 21:00:00+05:30,1h,1.0,hit
4,Bawana,2025-11-27 04:00:00+05:30,2025-11-28 13:00:00+05:30,431.0,34.0,2025-11-27 04:00:00+05:30,1h,1.0,hit
4,Bawana,2025-12-02 14:00:00+05:30,2025-12-03 08:00:00+05:30,440.0,19.0,2025-12-02 14:00:00+05:30,1h,3.0,hit
4,Bawana,2025-12-12 17:00:00+05:30,2025-12-16 01:00:00+05:30,498.0,81.0,2025-12-12 17:00:00+05:30,1h,0.0,hit
4,Bawana,2025-12-16 06:00:00+05:30,2025-12-16 14:00:00+05:30,415.0,9.0,2025-12-16 06:00:00+05:30,1h,10.0,hit
4,Bawana,2025-12-18 17:00:00+05:30,2025-12-19 01:00:00+05:30,413.0,9.0,2025-12-18 17:00:00+05:30,1h,0.0,hit
4,Bawana,2025-12-20 11:00:00+05:30,2025-12-23 14:00:00+05:30,465.0,76.0,2025-12-20 11:00:00+05:30,1h,1.0,hit
4,Bawana,2025-12-26 14:00:00+05:30,2025-12-27 05:00:00+05:30,428.0,16.0,2025-12-26 14:00:00+05:30,1h,1.0,hit
4,Bawana,2025-12-27 11:00:00+05:30,2025-12-30 00:00:00+05:30,423.0,62.0,2025-12-27 11:00:00+05:30,1h,13.0,hit
5,Dwarka-Sector 8,2025-11-02 05:00:00+05:30,2025-11-02 14:00:00+05:30,418.0,10.0,2025-11-02 05:00:00+05:30,1h,0.0,hit
5,Dwarka-Sector 8,2025-11-10 18:00:00+05:30,2025-11-14 11:00:00+05:30,457.0,90.0,2025-11-10 18:00:00+05:30,1h,0.0,hit
5,Dwarka-Sector 8,2025-11-20 02:00:00+05:30,2025-11-20 21:00:00+05:30,419.0,20.0,2025-11-20 02:00:00+05:30,1h,1.0,hit
5,Dwarka-Sector 8,2025-11-24 04:00:00+05:30,2025-11-24 09:00:00+05:30,402.0,6.0,2025-11-24 04:00:00+05:30,1h,1.0,hit
5,Dwarka-Sector 8,2025-11-28 00:00:00+05:30,2025-11-28 18:00:00+05:30,422.0,19.0,2025-11-28 00:00:00+05:30,1h,0.0,hit
5,Dwarka-Sector 8,2025-12-13 10:00:00+05:30,2025-12-16 02:00:00+05:30,469.0,65.0,2025-12-13 10:00:00+05:30,1h,1.0,hit
5,Dwarka-Sector 8,2025-12-18 16:00:00+05:30,2025-12-19 13:00:00+05:30,442.0,22.0,2025-12-18 16:00:00+05:30,1h,0.0,hit
5,Dwarka-Sector 8,2025-12-20 05:00:00+05:30,2025-12-21 09:00:00+05:30,448.0,29.0,2025-12-20 05:00:00+05:30,1h,0.0,hit
5,Dwarka-Sector 8,2025-12-22 18:00:00+05:30,2025-12-24 00:00:00+05:30,440.0,31.0,2025-12-22 18:00:00+05:30,1h,0.0,hit
5,Dwarka-Sector 8,2025-12-27 14:00:00+05:30,2025-12-28 07:00:00+05:30,415.0,18.0,2025-12-27 14:00:00+05:30,1h,0.0,hit
5,Dwarka-Sector 8,2025-12-29 08:00:00+05:30,2025-12-30 17:00:00+05:30,427.0,34.0,2025-12-29 08:00:00+05:30,1h,3.0,hit
5,Dwarka-Sector 8,2025-12-31 02:00:00+05:30,2025-12-31 22:00:00+05:30,429.0,21.0,2025-12-31 02:00:00+05:30,1h,13.0,hit
6,ITO,2025-11-08 16:00:00+05:30,2025-11-09 15:00:00+05:30,422.0,24.0,2025-11-08 16:00:00+05:30,1h,0.0,hit
6,ITO,2025-11-10 18:00:00+05:30,2025-11-16 22:00:00+05:30,455.0,149.0,2025-11-10 18:00:00+05:30,1h,0.0,hit
6,ITO,2025-11-19 17:00:00+05:30,2025-11-20 04:00:00+05:30,413.0,12.0,2025-11-19 17:00:00+05:30,1h,0.0,hit
6,ITO,2025-11-23 20:00:00+05:30,2025-11-24 17:00:00+05:30,412.0,22.0,2025-11-23 20:00:00+05:30,1h,1.0,hit
6,ITO,2025-12-13 00:00:00+05:30,2025-12-16 10:00:00+05:30,489.0,83.0,2025-12-13 00:00:00+05:30,1h,0.0,hit
6,ITO,2025-12-18 14:00:00+05:30,2025-12-21 05:00:00+05:30,445.0,64.0,2025-12-18 14:00:00+05:30,1h,0.0,hit
6,ITO,2025-12-22 22:00:00+05:30,2025-12-24 01:00:00+05:30,447.0,28.0,2025-12-22 22:00:00+05:30,1h,2.0,hit
6,ITO,2025-12-27 12:00:00+05:30,2025-12-28 07:00:00+05:30,417.0,20.0,2025-12-27 12:00:00+05:30,1h,1.0,hit
6,ITO,2025-12-28 19:00:00+05:30,2025-12-29 05:00:00+05:30,413.0,11.0,2025-12-28 19:00:00+05:30,1h,0.0,hit
6,ITO,2025-12-29 14:00:00+05:30,2025-12-29 23:00:00+05:30,409.0,10.0,2025-12-29 14:00:00+05:30,1h,13.0,hit
6,ITO,2025-12-30 07:00:00+05:30,2025-12-30 15:00:00+05:30,413.0,9.0,2025-12-30 07:00:00+05:30,1h,13.0,hit
6,ITO,2025-12-31 00:00:00+05:30,2025-12-31 22:00:00+05:30,444.0,23.0,2025-12-31 00:00:00+05:30,1h,13.0,hit
7,Jahangirpuri,2025-11-02 06:00:00+05:30,2025-11-02 08:00:00+05:30,403.0,3.0,2025-11-02 06:00:00+05:30,1h,0.0,hit
7,Jahangirpuri,2025-11-03 21:00:00+05:30,2025-11-04 07:00:00+05:30,418.0,11.0,2025-11-03 21:00:00+05:30,1h,0.0,hit
7,Jahangirpuri,2025-11-08 16:00:00+05:30,2025-11-09 18:00:00+05:30,436.0,27.0,2025-11-08 16:00:00+05:30,1h,0.0,hit
7,Jahangirpuri,2025-11-10 14:00:00+05:30,2025-11-17 09:00:00+05:30,456.0,164.0,2025-11-10 14:00:00+05:30,1h,0.0,hit
7,Jahangirpuri,2025-11-17 21:00:00+05:30,2025-11-25 04:00:00+05:30,458.0,176.0,2025-11-17 21:00:00+05:30,1h,13.0,hit
7,Jahangirpuri,2025-11-27 09:00:00+05:30,2025-11-28 22:00:00+05:30,423.0,38.0,2025-11-27 09:00:00+05:30,1h,1.0,hit
7,Jahangirpuri,2025-12-02 17:00:00+05:30,2025-12-03 09:00:00+05:30,415.0,17.0,2025-12-02 17:00:00+05:30,1h,1.0,hit
7,Jahangirpuri,2025-12-12 06:00:00+05:30,2025-12-16 13:00:00+05:30,500.0,104.0,2025-12-12 06:00:00+05:30,1h,1.0,hit
7,Jahangirpuri,2025-12-18 02:00:00+05:30,2025-12-19 06:00:00+05:30,419.0,29.0,2025-12-18 02:00:00+05:30,1h,1.0,hit
7,Jahangirpuri,2025-12-19 12:00:00+05:30,2025-12-19 14:00:00+05:30,402.0,3.0,2025-12-19 12:00:00+05:30,1h,13.0,hit
7,Jahangirpuri,2025-12-19 21:00:00+05:30,2025-12-19 22:00:00+05:30,402.0,2.0,2025-12-19 21:00:00+05:30,1h,12.0,hit
7,Jahangirpuri,2025-12-20 03:00:00+05:30,2025-12-22 00:00:00+05:30,469.0,46.0,2025-12-20 03:00:00+05:30,1h,6.0,hit
7,Jahangirpuri,2025-12-22 06:00:00+05:30,2025-12-24 01:00:00+05:30,450.0,44.0,2025-12-22 06:00:00+05:30,1h,13.0,hit
7,Jahangirpuri,2025-12-26 10:00:00+05:30,2025-12-31 22:00:00+05:30,475.0,133.0,2025-12-26 10:00:00+05:30,1h,2.0,hit
8,Punjabi Bagh,2025-11-02 06:00:00+05:30,2025-11-02 13:00:00+05:30,410.0,8.0,2025-11-02 06:00:00+05:30,1h,1.0,hit
8,Punjabi Bagh,2025-11-08 17:00:00+05:30,2025-11-09 19:00:00+05:30,434.0,27.0,2025-11-08 17:00:00+05:30,1h,1.0,hit
8,Punjabi Bagh,2025-11-10 14:00:00+05:30,2025-11-14 14:00:00+05:30,461.0,97.0,2025-11-10 14:00:00+05:30,1h,0.0,hit
8,Punjabi Bagh,2025-11-15 05:00:00+05:30,2025-11-15 20:00:00+05:30,408.0,16.0,2025-11-15 05:00:00+05:30,1h,0.0,hit
8,Punjabi Bagh,2025-11-16 01:00:00+05:30,2025-11-16 20:00:00+05:30,412.0,20.0,2025-11-16 01:00:00+05:30,1h,13.0,hit
8,Punjabi Bagh,2025-11-18 15:00:00+05:30,2025-11-20 23:00:00+05:30,444.0,57.0,2025-11-18 15:00:00+05:30,1h,1.0,hit
8,Punjabi Bagh,2025-11-22 21:00:00+05:30,2025-11-24 18:00:00+05:30,431.0,46.0,2025-11-22 21:00:00+05:30,1h,1.0,hit
8,Punjabi Bagh,2025-11-27 11:00:00+05:30,2025-11-28 15:00:00+05:30,424.0,29.0,2025-11-27 11:00:00+05:30,1h,2.0,hit
8,Punjabi Bagh,2025-12-02 17:00:00+05:30,2025-12-03 00:00:00+05:30,412.0,8.0,2025-12-02 17:00:00+05:30,1h,1.0,hit
8,Punjabi Bagh,2025-12-12 19:00:00+05:30,2025-12-16 10:00:00+05:30,481.0,88.0,2025-12-12 19:00:00+05:30,1h,0.0,hit
8,Punjabi Bagh,2025-12-18 15:00:00+05:30,2025-12-19 17:00:00+05:30,439.0,27.0,2025-12-18 15:00:00+05:30,1h,1.0,hit
8,Punjabi Bagh,2025-12-20 01:00:00+05:30,2025-12-21 10:00:00+05:30,448.0,34.0,2025-12-20 01:00:00+05:30,1h,13.0,hit
8,Punjabi Bagh,2025-12-22 19:00:00+05:30,2025-12-24 00:00:00+05:30,448.0,30.0,2025-12-22 19:00:00+05:30,1h,1.0,hit
8,Punjabi Bagh,2025-12-27 20:00:00+05:30,2025-12-31 22:00:00+05:30,441.0,99.0,2025-12-27 20:00:00+05:30,1h,0.0,hit
9,R K Puram,2025-11-01 21:00:00+05:30,2025-11-02 16:00:00+05:30,426.0,20.0,2025-11-01 21:00:00+05:30,1h,1.0,hit
9,R K Puram,2025-11-08 23:00:00+05:30,2025-11-09 14:00:00+05:30,423.0,16.0,2025-11-08 23:00:00+05:30,1h,1.0,hit
9,R K Puram,2025-11-10 20:00:00+05:30,2025-11-14 10:00:00+05:30,459.0,87.0,2025-11-10 20:00:00+05:30,1h,1.0,hit
9,R K Puram,2025-11-15 05:00:00+05:30,2025-11-16 00:00:00+05:30,412.0,20.0,2025-11-15 05:00:00+05:30,1h,2.0,hit
