,pm25,pm10,no,no2,nox,nh3,so2,co,o3,benzene,toluene,temperature,humidity,wind_speed,solar_radiation,barometric_pressure,aqi_value
pm25,1.0,0.84,0.409,0.357,0.453,0.267,0.116,0.533,-0.15,0.165,0.303,-0.521,0.272,-0.158,-0.157,-0.007,0.772
pm10,0.84,1.0,0.486,0.386,0.524,0.259,0.173,0.575,-0.099,0.155,0.347,-0.328,0.024,-0.143,-0.098,-0.069,0.741
no,0.409,0.486,1.0,0.389,0.92,0.232,0.113,0.639,-0.197,0.117,0.309,-0.266,0.206,-0.14,-0.18,-0.143,0.295
no2,0.357,0.386,0.389,1.0,0.67,0.294,0.129,0.499,-0.181,0.112,0.28,-0.267,0.017,-0.106,-0.191,-0.216,0.403
nox,0.453,0.524,0.92,0.67,1.0,0.311,0.114,0.691,-0.227,0.128,0.332,-0.297,0.171,-0.164,-0.207,-0.161,0.379
nh3,0.267,0.259,0.232,0.294,0.311,1.0,-0.034,0.22,-0.052,0.052,0.112,-0.225,0.08,0.026,-0.009,0.132,0.303
so2,0.116,0.173,0.113,0.129,0.114,-0.034,1.0,0.114,0.006,0.03,0.069,0.018,-0.142,-0.11,-0.012,-0.239,0.15
co,0.533,0.575,0.639,0.499,0.691,0.22,0.114,1.0,-0.214,0.14,0.346,-0.254,0.218,-0.134,-0.207,-0.129,0.435
o3,-0.15,-0.099,-0.197,-0.181,-0.227,-0.052,0.006,-0.214,1.0,-0.065,-0.085,0.334,-0.47,0.152,0.334,0.025,0.046
benzene,0.165,0.155,0.117,0.112,0.128,0.052,0.03,0.14,-0.065,1.0,0.235,-0.109,0.043,0.028,-0.051,-0.02,0.134
toluene,0.303,0.347,0.309,0.28,0.332,0.112,0.069,0.346,-0.085,0.235,1.0,-0.148,0.091,-0.059,-0.109,-0.164,0.278
temperature,-0.521,-0.328,-0.266,-0.267,-0.297,-0.225,0.018,-0.254,0.334,-0.109,-0.148,1.0,-0.508,0.158,0.357,-0.084,-0.588
humidity,0.272,0.024,0.206,0.017,0.171,0.08,-0.142,0.218,-0.47,0.043,0.091,-0.508,1.0,-0.158,-0.442,0.072,-0.031
wind_speed,-0.158,-0.143,-0.14,-0.106,-0.164,0.026,-0.11,-0.134,0.152,0.028,-0.059,0.158,-0.158,1.0,0.246,0.124,-0.082
solar_radiation,-0.157,-0.098,-0.18,-0.191,-0.207,-0.009,-0.012,-0.207,0.334,-0.051,-0.109,0.357,-0.442,0.246,1.0,-0.028,-0.076
barometric_pressure,-0.007,-0.069,-0.143,-0.216,-0.161,0.132,-0.239,-0.129,0.025,-0.02,-0.164,-0.084,0.072,0.124,-0.028,1.0,-0.034
aqi_value,0.772,0.741,0.295,0.403,0.379,0.303,0.15,0.435,0.046,0.134,0.278,-0.588,-0.031,-0.082,-0.076,-0.034,1.0
