station_name,day_of_week,day_name,pm25_mean,pm25_median,pm10_mean,no2_mean,o3_mean,co_mean,aqi_mean,aqi_median
Anand Vihar,1,Monday,129.89,90.75,294.95,64.2,24.68,1.89,237.58,216.0
Anand Vihar,2,Tuesday,125.24,87.0,291.21,66.77,23.96,1.9,232.39,219.0
Anand Vihar,3,Wednesday,122.25,85.5,285.51,65.37,24.03,1.84,225.33,208.5
Anand Vihar,4,Thursday,121.23,84.0,283.18,67.16,24.26,1.85,223.2,199.0
Anand Vihar,5,Friday,124.6,85.0,280.8,66.73,25.27,1.91,226.43,196.0
Anand Vihar,6,Saturday,128.26,85.0,290.67,67.46,23.94,1.97,225.97,195.0
Anand Vihar,7,Sunday,131.78,89.0,294.64,65.29,25.03,1.94,230.68,210.0
Bawana,1,Monday,117.58,80.0,218.36,22.5,35.93,1.02,220.36,209.0
Bawana,2,Tuesday,123.11,88.0,227.73,24.21,35.8,1.06,225.28,222.0
Bawana,3,Wednesday,119.82,84.0,221.09,23.79,35.3,1.04,224.1,245.0
Bawana,4,Thursday,116.67,79.0,215.29,23.28,36.56,1.03,221.68,216.0
Bawana,5,Friday,109.98,75.0,209.86,23.22,34.98,1.05,221.2,209.5
Bawana,6,Saturday,117.27,76.25,216.7,23.58,34.76,1.06,214.12,182.0
Bawana,7,Sunday,120.54,79.5,217.55,22.33,36.08,1.05,220.11,193.0
Dwarka-Sector 8,1,Monday,108.61,72.0,236.55,43.61,31.29,1.51,216.8,187.0
Dwarka-Sector 8,2,Tuesday,104.56,68.5,231.74,43.48,30.54,1.44,211.68,203.0
Dwarka-Sector 8,3,Wednesday,107.02,71.5,238.37,42.42,30.17,1.48,213.99,199.0
Dwarka-Sector 8,4,Thursday,106.24,63.0,232.15,42.96,31.59,1.47,211.05,183.0
Dwarka-Sector 8,5,Friday,103.25,66.0,228.11,42.35,31.15,1.49,212.14,183.0
Dwarka-Sector 8,6,Saturday,108.7,69.0,244.27,44.42,32.2,1.5,207.08,173.0
Dwarka-Sector 8,7,Sunday,109.81,70.63,236.1,43.54,32.29,1.43,211.1,180.0
ITO,1,Monday,95.79,69.5,156.36,65.05,25.78,1.3,196.83,165.0
ITO,2,Tuesday,100.1,70.5,159.34,65.38,25.34,1.36,197.55,159.0
ITO,3,Wednesday,100.36,70.5,157.7,66.07,26.32,1.35,200.41,172.5
ITO,4,Thursday,94.12,63.25,150.35,65.81,26.62,1.33,195.17,161.0
ITO,5,Friday,91.84,62.5,150.34,66.84,25.09,1.35,187.36,143.0
ITO,6,Saturday,96.41,66.5,153.54,66.42,25.98,1.34,189.6,140.0
ITO,7,Sunday,97.89,67.25,152.79,65.74,25.68,1.3,192.59,141.0
Jahangirpuri,1,Monday,124.01,89.0,263.81,47.26,30.28,1.44,243.34,224.0
Jahangirpuri,2,Tuesday,129.84,97.0,273.4,47.94,31.41,1.49,241.75,238.0
Jahangirpuri,3,Wednesday,125.11,89.13,268.33,47.76,30.76,1.5,237.74,232.0
Jahangirpuri,4,Thursday,120.41,85.0,256.77,48.08,31.39,1.45,243.55,233.0
Jahangirpuri,5,Friday,117.95,84.0,255.6,47.62,31.37,1.46,244.04,227.0
Jahangirpuri,6,Saturday,123.44,85.0,261.48,47.23,30.03,1.44,236.24,215.0
Jahangirpuri,7,Sunday,124.66,90.0,260.53,46.89,29.91,1.49,243.44,214.5
Punjabi Bagh,1,Monday,112.03,77.0,210.02,35.55,32.79,1.05,201.77,172.0
Punjabi Bagh,2,Tuesday,111.96,80.0,215.5,36.55,32.48,1.03,202.31,170.0
Punjabi Bagh,3,Wednesday,111.99,76.25,211.93,36.66,32.32,1.08,198.67,174.0
Punjabi Bagh,4,Thursday,106.56,69.88,206.4,36.74,32.66,1.07,198.49,160.0
Punjabi Bagh,5,Friday,103.46,69.0,203.77,36.28,32.43,1.1,198.05,157.0
Punjabi Bagh,6,Saturday,109.98,72.0,213.11,36.89,33.45,1.09,192.43,151.0
Punjabi Bagh,7,Sunday,111.82,73.0,208.57,35.84,33.14,1.05,201.74,168.5
R K Puram,1,Monday,109.35,75.5,210.67,40.31,37.72,1.29,204.58,185.0
R K Puram,2,Tuesday,109.32,79.0,207.39,40.59,37.28,1.28,205.98,198.0
R K Puram,3,Wednesday,111.89,77.0,209.84,40.01,37.46,1.32,207.54,205.0
R K Puram,4,Thursday,107.5,70.0,202.28,38.74,37.75,1.23,206.72,176.5
R K Puram,5,Friday,102.96,70.5,199.63,38.58,37.44,1.31,204.94,167.0
R K Puram,6,Saturday,110.9,72.0,206.59,40.44,37.94,1.33,201.16,164.0
R K Puram,7,Sunday,110.42,75.0,198.19,38.57,37.59,1.28,209.08,168.0
