station_name,start_time,end_time,duration_hours,max_aqi,mean_aqi,start_month,start_year
Bawana,2025-11-07 15:30:00+00:00,2025-11-24 13:30:00+00:00,405,466.0,434.7,11,2025
Jahangirpuri,2025-11-17 15:30:00+00:00,2025-11-24 23:30:00+00:00,176,458.0,435.2,11,2025
Jahangirpuri,2025-11-10 09:30:00+00:00,2025-11-17 04:30:00+00:00,164,456.0,430.5,11,2025
ITO,2025-11-10 13:30:00+00:00,2025-11-16 19:30:00+00:00,151,455.0,426.9,11,2025
Anand Vihar,2025-12-17 21:30:00+00:00,2025-12-23 21:30:00+00:00,145,470.0,431.4,12,2025
Jahangirpuri,2025-12-26 05:30:00+00:00,2025-12-31 17:30:00+00:00,133,475.0,432.5,12,2025
Anand Vihar,2025-12-26 06:30:00+00:00,2025-12-31 17:30:00+00:00,132,463.0,441.4,12,2025
Anand Vihar,2025-11-10 12:30:00+00:00,2025-11-16 10:30:00+00:00,116,453.0,430.6,11,2025
Jahangirpuri,2025-12-12 01:30:00+00:00,2025-12-16 08:30:00+00:00,103,500.0,463.1,12,2025
Anand Vihar,2025-11-20 22:30:00+00:00,2025-11-25 03:30:00+00:00,102,447.0,424.8,11,2025
Punjabi Bagh,2025-12-27 14:30:00+00:00,2025-12-31 17:30:00+00:00,100,441.0,423.6,12,2025
Punjabi Bagh,2025-11-10 09:30:00+00:00,2025-11-14 10:30:00+00:00,98,461.0,432.0,11,2025
Anand Vihar,2025-12-12 05:30:00+00:00,2025-12-16 03:30:00+00:00,95,493.0,461.6,12,2025
Dwarka-Sector 8,2025-11-10 13:30:00+00:00,2025-11-14 07:30:00+00:00,91,457.0,421.7,11,2025
R K Puram,2025-11-10 15:30:00+00:00,2025-11-14 06:30:00+00:00,88,459.0,437.5,11,2025
Punjabi Bagh,2025-12-12 14:30:00+00:00,2025-12-16 05:30:00+00:00,88,481.0,453.2,12,2025
ITO,2025-12-12 19:30:00+00:00,2025-12-16 05:30:00+00:00,83,489.0,453.4,12,2025
Bawana,2025-12-20 05:30:00+00:00,2025-12-23 10:30:00+00:00,78,465.0,426.6,12,2025
Bawana,2025-12-12 12:30:00+00:00,2025-12-15 12:30:00+00:00,73,498.0,461.6,12,2025
R K Puram,2025-12-13 01:30:00+00:00,2025-12-15 23:30:00+00:00,71,487.0,455.3,12,2025
Dwarka-Sector 8,2025-12-13 04:30:00+00:00,2025-12-15 21:30:00+00:00,66,469.0,446.6,12,2025
ITO,2025-12-18 09:30:00+00:00,2025-12-21 00:30:00+00:00,64,445.0,419.2,12,2025
R K Puram,2025-12-18 08:30:00+00:00,2025-12-20 23:30:00+00:00,64,448.0,419.9,12,2025
Bawana,2025-12-27 05:30:00+00:00,2025-12-29 19:30:00+00:00,63,423.0,413.0,12,2025
Punjabi Bagh,2025-11-18 09:30:00+00:00,2025-11-20 18:30:00+00:00,57,444.0,423.9,11,2025
R K Puram,2025-11-18 23:30:00+00:00,2025-11-21 02:30:00+00:00,51,428.0,416.6,11,2025
Jahangirpuri,2025-01-03 04:30:00+00:00,2025-01-05 06:30:00+00:00,50,428.0,413.2,1,2025
Punjabi Bagh,2025-11-22 15:30:00+00:00,2025-11-24 14:30:00+00:00,48,431.0,416.3,11,2025
Jahangirpuri,2025-12-19 21:30:00+00:00,2025-12-21 20:30:00+00:00,48,469.0,433.9,12,2025
Bawana,2025-01-09 10:30:00+00:00,2025-01-11 09:30:00+00:00,48,442.0,429.5,1,2025
Anand Vihar,2025-10-18 13:30:00+00:00,2025-10-20 10:30:00+00:00,46,436.0,417.8,10,2025
Anand Vihar,2025-10-24 14:30:00+00:00,2025-10-26 11:30:00+00:00,46,431.0,419.3,10,2025
Jahangirpuri,2025-12-22 00:30:00+00:00,2025-12-23 20:30:00+00:00,45,450.0,424.5,12,2025
Anand Vihar,2025-11-18 07:30:00+00:00,2025-11-20 03:30:00+00:00,44,432.0,418.8,11,2025
Jahangirpuri,2025-01-09 08:30:00+00:00,2025-01-10 21:30:00+00:00,38,453.0,439.0,1,2025
Jahangirpuri,2025-11-27 04:30:00+00:00,2025-11-28 17:30:00+00:00,38,423.0,414.3,11,2025
R K Puram,2025-01-03 13:30:00+00:00,2025-01-05 01:30:00+00:00,36,423.0,412.7,1,2025
Dwarka-Sector 8,2025-12-29 01:30:00+00:00,2025-12-30 12:30:00+00:00,36,427.0,413.5,12,2025
Punjabi Bagh,2025-12-19 20:30:00+00:00,2025-12-21 05:30:00+00:00,34,448.0,427.5,12,2025
Bawana,2025-11-26 23:30:00+00:00,2025-11-28 08:30:00+00:00,34,431.0,418.7,11,2025
R K Puram,2025-12-27 09:30:00+00:00,2025-12-28 17:30:00+00:00,33,434.0,415.6,12,2025
Bawana,2025-01-29 10:30:00+00:00,2025-01-30 19:30:00+00:00,33,428.0,414.1,1,2025
Dwarka-Sector 8,2025-01-09 14:30:00+00:00,2025-01-10 20:30:00+00:00,31,446.0,427.4,1,2025
