station_name,hour_of_day,obs_count,pm25_mean,pm25_median,pm10_mean,pm10_median,no2_mean,no2_median,o3_mean,o3_median,co_mean,temp_mean,humidity_mean,wind_speed_mean,aqi_mean,aqi_median,aqi_p90
Anand Vihar,0,943,153.39,104.25,342.35,301.5,70.2,59.7,19.38,11.22,2.39,24.84,67.16,0.51,228.24,208.0,409.8
Anand Vihar,1,943,154.15,100.13,324.17,272.5,64.97,55.47,20.13,11.0,2.25,24.56,68.37,0.49,229.51,211.5,408.1
Anand Vihar,2,943,149.54,98.75,302.03,250.5,61.28,51.75,20.21,10.94,2.12,24.34,69.59,0.47,228.85,207.5,407.9
Anand Vihar,3,943,144.23,97.0,287.25,231.75,60.08,49.62,19.6,10.98,2.0,24.16,70.45,0.49,229.74,210.0,406.2
Anand Vihar,4,943,142.99,96.0,276.53,227.63,59.06,49.17,19.63,10.52,1.95,23.97,71.25,0.49,227.7,204.0,404.6
Anand Vihar,5,943,139.69,99.0,273.55,236.0,63.55,53.78,18.83,9.75,1.97,23.84,71.84,0.46,227.73,201.5,407.2
Anand Vihar,6,943,140.42,105.0,289.17,259.0,64.61,54.96,18.04,9.45,2.04,23.82,72.13,0.48,228.59,204.0,406.8
Anand Vihar,7,943,140.6,110.0,295.62,271.0,65.78,56.3,18.41,9.75,2.07,24.19,70.85,0.55,229.21,203.0,409.2
Anand Vihar,8,943,140.74,115.0,312.93,299.0,66.71,56.5,19.72,11.5,1.95,25.28,66.7,0.64,228.17,203.0,405.0
Anand Vihar,9,943,137.98,106.0,311.94,298.0,63.5,55.6,22.81,14.06,1.77,26.55,60.9,0.72,228.79,203.0,405.3
Anand Vihar,10,943,132.93,99.0,307.53,279.25,60.19,54.78,26.39,15.98,1.67,27.65,56.33,0.88,229.08,205.0,406.4
Anand Vihar,11,943,121.35,82.63,267.08,244.0,56.3,51.09,30.49,18.68,1.53,28.51,52.66,0.96,229.03,201.0,408.0
Anand Vihar,12,943,112.48,75.0,249.55,230.0,52.87,48.58,34.34,22.2,1.45,29.29,50.08,0.98,230.53,203.5,409.0
Anand Vihar,13,943,102.29,69.0,236.83,222.0,51.84,46.35,36.29,25.56,1.36,29.68,48.58,0.95,229.25,202.5,408.1
Anand Vihar,14,943,94.74,67.0,227.59,206.0,52.99,47.94,36.71,26.37,1.33,29.68,48.16,0.91,228.84,204.0,408.6
Anand Vihar,15,943,86.91,61.13,219.49,200.0,53.86,49.46,36.87,26.53,1.3,29.47,48.73,0.87,228.91,203.0,408.0
Anand Vihar,16,943,86.6,64.0,228.28,207.0,59.65,54.55,33.78,21.78,1.32,28.84,50.38,0.78,228.45,203.5,407.9
Anand Vihar,17,943,86.16,64.0,235.83,211.88,67.33,58.63,29.93,18.5,1.39,28.08,52.83,0.64,228.33,202.5,406.3
Anand Vihar,18,943,90.13,65.0,256.83,223.0,76.87,66.37,25.35,16.18,1.58,27.21,55.99,0.58,229.54,201.5,410.7
Anand Vihar,19,943,104.31,72.75,296.2,259.0,84.62,73.99,21.14,13.6,1.94,26.5,59.48,0.53,228.86,201.5,408.1
Anand Vihar,20,943,124.17,86.0,326.66,289.75,86.3,75.63,19.4,11.42,2.33,26.03,61.86,0.53,228.69,203.0,409.0
