variable,total_observations,valid_count,missing_count,missing_pct
pm25,162096,153923,8173,5.04
pm10,162096,153699,8397,5.18
no,162096,156579,5517,3.4
no2,162096,156486,5610,3.46
nox,162096,157138,4958,3.06
nh3,162096,156468,5628,3.47
so2,162096,152378,9718,6.0
co,162096,156320,5776,3.56
o3,162096,155209,6887,4.25
benzene,162096,134037,28059,17.31
toluene,162096,116070,46026,28.39
xylene,162096,0,162096,100.0
temperature,162096,135560,26536,16.37
humidity,162096,135669,26427,16.3
wind_speed,162096,134468,27628,17.04
wind_direction,162096,134639,27457,16.94
rainfall,162096,70350,91746,56.6
solar_radiation,162096,135531,26565,16.39
barometric_pressure,162096,112447,49649,30.63
vertical_wind_speed,162096,48799,113297,69.9
aqi_value,57946,57946,0,0.0
