station_name,year,month,month_name,caaqms_obs,pm25_mean,pm25_median,pm10_mean,pm10_median,no2_mean,o3_mean,temp_mean,humidity_mean,wind_speed_mean,aqi_obs,aqi_mean,aqi_median,aqi_p90
Anand Vihar,2024,1,Jan,744,252.19,237.5,402.94,381.63,83.32,18.04,11.71,78.47,0.48,0,,,
Anand Vihar,2024,2,Feb,696,121.33,99.42,287.85,241.0,101.18,19.61,17.22,62.69,0.57,0,,,
Anand Vihar,2024,3,Mar,744,86.72,72.38,220.45,192.13,63.63,31.74,19.33,54.62,0.97,0,,,
Anand Vihar,2024,4,Apr,720,87.61,74.5,284.63,262.5,81.35,44.43,30.39,38.97,0.55,0,,,
Anand Vihar,2024,5,May,744,117.94,109.0,334.33,298.0,75.14,48.78,34.66,40.67,0.88,0,,,
Anand Vihar,2024,6,Jun,720,74.91,69.0,288.36,256.0,63.71,81.2,37.76,42.74,0.75,0,,,
Anand Vihar,2024,7,Jul,744,52.13,48.0,136.71,132.0,26.43,69.98,33.89,68.57,0.31,0,,,
Anand Vihar,2024,8,Aug,744,44.31,39.0,130.62,101.0,66.29,71.97,32.99,74.15,0.72,0,,,
Anand Vihar,2024,9,Sep,720,88.87,64.0,225.69,150.5,62.22,45.84,33.3,73.24,1.36,0,,,
Anand Vihar,2024,10,Oct,744,151.28,134.5,487.78,441.0,86.75,49.93,32.32,57.38,0.77,0,,,
Anand Vihar,2024,11,Nov,720,313.15,287.0,544.15,532.0,106.94,26.64,26.75,62.54,0.68,0,,,
Anand Vihar,2024,12,Dec,744,211.62,175.0,360.77,320.5,148.36,11.22,17.8,64.93,0.81,0,,,
Anand Vihar,2025,1,Jan,744,228.97,200.0,367.47,317.5,78.73,6.2,19.67,74.94,0.61,550,356.02,364.5,417.1
Anand Vihar,2025,2,Feb,672,128.02,104.5,285.78,246.0,96.34,8.77,22.44,57.5,3.78,397,258.43,261.0,352.8
