variable,count,mean,std,min,p25,median,p75,p90,p95,p99,max,skewness,kurtosis,pm25_pearson_corr,aqi_pearson_corr
pm25,153923,112.58,102.43,1.0,42.0,77.0,150.0,249.25,318.75,481.0,998.0,2.08,6.21,1.0,0.772
pm10,153699,224.69,153.42,1.0,114.0,186.0,296.0,431.0,528.0,749.0,1000.0,1.42,2.5,0.84,0.741
no,156579,27.83,51.19,0.0,4.2,10.65,25.35,67.5,124.42,275.98,497.55,4.07,20.41,0.409,0.295
no2,156486,45.76,39.53,0.0,19.7,36.33,60.33,89.12,112.9,188.71,498.9,3.15,19.35,0.357,0.403
nox,157138,48.05,56.0,0.0,16.33,30.0,54.88,105.28,157.55,297.34,499.0,3.17,13.14,0.453,0.379
nh3,156468,33.13,22.69,0.0,19.0,27.2,41.0,58.9,75.05,121.75,347.7,2.55,11.77,0.267,0.303
so2,152378,16.17,13.86,0.0,7.25,12.88,21.08,31.95,40.25,65.41,199.5,3.12,20.56,0.116,0.15
co,156320,1.37,1.15,0.0,0.72,1.03,1.64,2.7,3.68,6.0,9.76,2.39,8.07,0.533,0.435
o3,155209,31.26,34.96,0.0,8.75,18.25,40.88,76.4,104.4,159.32,932.0,2.66,14.43,-0.15,0.046
benzene,134037,2.09,6.72,0.0,0.27,1.08,2.52,4.5,6.45,13.22,475.0,42.0,2335.75,0.165,0.134
toluene,116070,14.06,26.15,0.0,1.33,4.34,13.75,40.0,64.47,124.57,475.0,4.35,30.9,0.303,0.278
temperature,135560,25.66,7.98,0.3,19.15,27.6,31.62,34.83,36.65,40.4,49.8,-0.39,-0.76,-0.521,-0.588
humidity,135669,63.26,18.66,9.5,47.5,64.0,79.75,87.5,90.5,94.0,99.0,-0.16,-1.09,0.272,-0.031
wind_speed,134468,0.77,1.01,0.0,0.3,0.55,1.02,1.6,1.98,3.15,36.6,17.08,501.52,-0.158,-0.082
solar_radiation,135531,98.02,144.37,1.0,6.25,22.75,134.2,313.5,419.34,600.5,1029.5,1.83,2.8,-0.157,-0.076
barometric_pressure,112447,913.39,110.98,700.0,745.25,979.83,986.0,992.0,995.5,997.0,998.75,-0.93,-1.12,-0.007,-0.034
aqi_value,57946,214.86,116.33,31.0,112.0,190.0,314.0,391.0,419.0,453.0,500.0,0.44,-1.04,0.772,1.0
