station_name,season,caaqms_obs,pm25_mean,pm25_median,pm25_p90,pm10_mean,pm10_median,pm10_p90,no2_mean,o3_mean,temp_mean,humidity_mean,wind_speed_mean,aqi_obs,aqi_mean,aqi_median,aqi_p90,aqi_p95,aqi_max
Anand Vihar,Winter,5760,202.33,179.0,366.3,361.7,327.0,605.0,85.3,12.86,16.27,68.2,0.74,1689,349.1,357.0,451.0,461.0,493.0
Anand Vihar,Summer,6624,86.46,72.0,160.0,258.97,232.0,434.0,62.82,25.1,29.31,48.41,0.57,2171,197.3,190.0,288.0,304.0,366.0
Anand Vihar,Monsoon,7320,59.49,50.0,104.0,183.61,148.38,361.9,44.59,32.1,32.13,66.78,0.64,2858,130.05,108.0,227.3,272.0,310.0
Anand Vihar,Post-Monsoon,2928,213.39,182.0,399.0,455.81,438.0,754.0,87.61,27.84,26.0,60.89,0.63,1412,333.54,369.5,428.0,437.0,453.0
Bawana,Winter,5760,178.9,158.0,316.0,273.73,241.0,456.0,29.81,29.66,14.22,74.66,0.88,2134,328.12,338.0,416.0,432.0,498.0
Bawana,Summer,6624,93.17,73.0,180.75,228.59,206.0,390.0,23.94,47.8,27.84,50.75,1.25,2178,204.63,209.0,282.3,303.0,343.0
Bawana,Monsoon,7320,48.5,41.0,85.0,116.46,97.0,207.0,12.77,25.27,32.08,67.84,1.49,2831,97.14,86.0,156.0,190.0,314.0
Bawana,Post-Monsoon,2928,220.57,198.25,404.1,329.69,307.0,556.0,34.6,45.37,25.99,66.45,0.92,1455,329.24,366.0,441.0,450.3,466.0
Dwarka-Sector 8,Winter,6504,178.77,162.0,309.25,304.79,273.0,508.0,52.41,23.52,16.09,73.35,0.85,2139,309.91,323.0,410.0,429.1,469.0
Dwarka-Sector 8,Summer,6624,76.79,61.88,142.0,230.53,199.75,408.5,38.48,38.2,27.55,48.02,1.09,2135,184.71,179.0,259.0,282.0,351.0
Dwarka-Sector 8,Monsoon,8784,37.57,34.0,63.0,126.74,114.0,218.9,28.71,29.47,31.41,67.72,1.03,2768,110.7,105.0,159.0,187.65,336.0
Dwarka-Sector 8,Post-Monsoon,4392,180.68,158.5,328.18,351.72,323.13,593.35,65.13,36.05,26.14,66.49,0.67,1412,303.25,324.0,400.9,417.0,457.0
ITO,Winter,5760,155.17,133.5,281.25,217.22,190.5,372.75,77.65,25.69,,,,2136,294.34,301.0,408.0,424.0,489.0
ITO,Summer,6624,70.66,61.38,121.45,138.21,125.0,221.48,50.53,31.5,,,,2087,146.03,139.0,212.0,224.0,307.0
ITO,Monsoon,7320,40.74,36.5,67.55,77.39,67.0,138.75,56.73,22.03,,,,2505,93.71,86.0,124.0,144.0,198.0
ITO,Post-Monsoon,2928,168.12,146.75,309.33,243.7,221.25,424.8,100.68,22.74,,,,1453,289.13,319.0,412.0,433.0,455.0
Jahangirpuri,Winter,5760,196.4,171.71,347.0,330.27,300.0,537.55,67.07,23.23,14.93,72.58,0.41,2059,331.12,342.0,435.0,450.0,500.0
Jahangirpuri,Summer,6624,91.1,77.0,163.0,255.6,234.0,422.0,53.24,42.53,27.99,46.87,0.57,2161,224.11,220.0,309.0,329.0,375.0
Jahangirpuri,Monsoon,7320,53.92,48.0,97.0,159.96,139.0,278.0,21.27,25.5,31.48,70.35,0.68,2843,147.87,133.0,229.0,248.0,320.0
Jahangirpuri,Post-Monsoon,2928,215.97,190.0,398.0,396.85,376.0,658.0,59.91,31.09,25.06,65.34,1.4,1438,324.07,351.0,442.0,447.0,458.0
Punjabi Bagh,Winter,5760,180.24,157.0,321.2,280.73,251.5,461.75,47.54,27.43,16.24,69.65,0.41,1732,309.81,325.0,423.0,439.0,481.0
Punjabi Bagh,Summer,6624,78.41,66.25,143.0,195.29,175.0,322.0,37.22,38.08,28.75,45.54,0.56,2061,172.13,168.0,239.0,249.0,384.0
Punjabi Bagh,Monsoon,7320,43.65,39.0,78.0,117.6,105.5,195.0,20.57,28.09,32.15,65.95,0.66,2697,94.45,88.0,137.0,169.0,303.0
Punjabi Bagh,Post-Monsoon,2928,197.06,172.0,366.0,323.31,300.0,537.0,51.6,43.21,26.58,61.68,0.41,1348,307.89,347.0,422.3,435.0,461.0
R K Puram,Winter,5760,181.53,157.0,321.0,277.87,249.0,455.0,48.62,29.04,15.72,72.58,0.6,2129,307.32,326.0,413.2,426.0,487.0
R K Puram,Summer,6624,76.47,66.0,135.0,196.2,178.67,322.0,38.98,44.09,28.11,51.32,0.77,2052,171.66,168.0,245.0,255.0,328.0
R K Puram,Monsoon,7320,46.26,42.0,77.75,112.11,96.0,193.0,28.41,34.84,29.53,72.65,0.65,2651,98.67,91.0,154.0,175.0,236.0
R K Puram,Post-Monsoon,2928,183.97,162.0,326.0,296.9,279.34,477.7,50.96,46.5,23.42,71.81,0.41,1412,302.89,326.5,415.9,431.0,459.0
