,pm25,pm10,no,no2,nox,nh3,so2,co,o3,benzene,toluene,temperature,humidity,wind_speed,solar_radiation,barometric_pressure,aqi_value
pm25,1.0,0.844,0.37,0.457,0.489,0.265,0.126,0.501,-0.256,0.377,0.302,-0.562,0.204,-0.292,-0.176,0.099,0.821
pm10,0.844,1.0,0.337,0.445,0.469,0.262,0.168,0.5,-0.188,0.312,0.314,-0.346,-0.056,-0.244,-0.114,0.0,0.805
no,0.37,0.337,1.0,0.567,0.838,0.188,0.041,0.506,-0.429,0.346,0.246,-0.325,0.324,-0.314,-0.2,-0.238,0.259
no2,0.457,0.445,0.567,1.0,0.879,0.25,0.193,0.501,-0.258,0.388,0.329,-0.348,0.031,-0.353,-0.253,-0.183,0.445
nox,0.489,0.469,0.838,0.879,1.0,0.28,0.107,0.572,-0.387,0.399,0.312,-0.4,0.193,-0.391,-0.27,-0.211,0.425
nh3,0.265,0.262,0.188,0.25,0.28,1.0,-0.135,0.218,-0.113,0.101,0.157,-0.207,0.057,0.06,0.04,0.06,0.306
so2,0.126,0.168,0.041,0.193,0.107,-0.135,1.0,0.075,0.045,0.043,0.037,0.02,-0.181,-0.27,-0.061,-0.279,0.154
co,0.501,0.5,0.506,0.501,0.572,0.218,0.075,1.0,-0.339,0.307,0.335,-0.277,0.239,-0.263,-0.265,-0.064,0.447
o3,-0.256,-0.188,-0.429,-0.258,-0.387,-0.113,0.045,-0.339,1.0,-0.209,-0.209,0.388,-0.472,0.352,0.373,-0.028,-0.047
benzene,0.377,0.312,0.346,0.388,0.399,0.101,0.043,0.307,-0.209,1.0,0.699,-0.274,-0.011,-0.08,-0.077,0.0,0.442
toluene,0.302,0.314,0.246,0.329,0.312,0.157,0.037,0.335,-0.209,0.699,1.0,-0.177,0.051,-0.105,-0.117,-0.042,0.338
temperature,-0.562,-0.346,-0.325,-0.348,-0.4,-0.207,0.02,-0.277,0.388,-0.274,-0.177,1.0,-0.499,0.299,0.366,-0.191,-0.553
humidity,0.204,-0.056,0.324,0.031,0.193,0.057,-0.181,0.239,-0.472,-0.011,0.051,-0.499,1.0,-0.25,-0.431,0.135,-0.088
wind_speed,-0.292,-0.244,-0.314,-0.353,-0.391,0.06,-0.27,-0.263,0.352,-0.08,-0.105,0.299,-0.25,1.0,0.42,0.248,-0.209
solar_radiation,-0.176,-0.114,-0.2,-0.253,-0.27,0.04,-0.061,-0.265,0.373,-0.077,-0.117,0.366,-0.431,0.42,1.0,-0.088,-0.029
barometric_pressure,0.099,0.0,-0.238,-0.183,-0.211,0.06,-0.279,-0.064,-0.028,0.0,-0.042,-0.191,0.135,0.248,-0.088,1.0,0.085
aqi_value,0.821,0.805,0.259,0.445,0.425,0.306,0.154,0.447,-0.047,0.442,0.338,-0.553,-0.088,-0.209,-0.029,0.085,1.0
