station_name,year,month,current_aqi_obs,avail_target_1h,pct_target_1h,avail_target_6h,pct_target_6h,avail_target_24h,pct_target_24h
Anand Vihar,2025,1,550,544,98.91,523,95.09,441,80.18
Anand Vihar,2025,2,397,389,97.98,351,88.41,240,60.45
Anand Vihar,2025,3,724,718,99.17,717,99.03,717,99.03
Anand Vihar,2025,4,712,705,99.02,704,98.88,704,98.88
Anand Vihar,2025,5,735,730,99.32,726,98.78,726,98.78
Anand Vihar,2025,6,700,693,99.0,684,97.71,679,97.0
Anand Vihar,2025,7,727,724,99.59,719,98.9,711,97.8
Anand Vihar,2025,8,718,712,99.16,707,98.47,692,96.38
Anand Vihar,2025,9,713,706,99.02,706,99.02,706,99.02
Anand Vihar,2025,10,738,732,99.19,732,99.19,732,99.19
Anand Vihar,2025,11,674,669,99.26,660,97.92,631,93.62
Anand Vihar,2025,12,742,739,99.6,734,98.92,716,96.5
Bawana,2025,1,742,740,99.73,740,99.73,740,99.73
Bawana,2025,2,650,649,99.85,644,99.08,628,96.62
Bawana,2025,3,737,731,99.19,730,99.05,730,99.05
Bawana,2025,4,712,705,99.02,704,98.88,704,98.88
Bawana,2025,5,729,724,99.31,719,98.63,714,97.94
Bawana,2025,6,710,704,99.15,700,98.59,699,98.45
Bawana,2025,7,724,719,99.31,714,98.62,688,95.03
Bawana,2025,8,714,707,99.02,702,98.32,701,98.18
Bawana,2025,9,683,675,98.83,670,98.1,652,95.46
Bawana,2025,10,738,732,99.19,732,99.19,732,99.19
Bawana,2025,11,717,714,99.58,714,99.58,714,99.58
Bawana,2025,12,742,739,99.6,734,98.92,716,96.5
Dwarka-Sector 8,2025,1,742,740,99.73,740,99.73,740,99.73
Dwarka-Sector 8,2025,2,655,654,99.85,649,99.08,638,97.4
Dwarka-Sector 8,2025,3,694,687,98.99,677,97.55,649,93.52
Dwarka-Sector 8,2025,4,712,705,99.02,704,98.88,704,98.88
Dwarka-Sector 8,2025,5,729,724,99.31,719,98.63,702,96.3
Dwarka-Sector 8,2025,6,610,603,98.85,592,97.05,574,94.1
Dwarka-Sector 8,2025,7,741,738,99.6,738,99.6,739,99.73
Dwarka-Sector 8,2025,8,704,696,98.86,687,97.59,666,94.6
Dwarka-Sector 8,2025,9,713,706,99.02,706,99.02,706,99.02
Dwarka-Sector 8,2025,10,695,687,98.85,677,97.41,649,93.38
Dwarka-Sector 8,2025,11,717,714,99.58,714,99.58,714,99.58
Dwarka-Sector 8,2025,12,742,739,99.6,734,98.92,716,96.5
ITO,2025,1,742,740,99.73,740,99.73,740,99.73
ITO,2025,2,672,672,100.0,672,100.0,672,100.0
ITO,2025,3,721,714,99.03,708,98.2,698,96.81
ITO,2025,4,701,693,98.86,688,98.15,682,97.29
ITO,2025,5,665,658,98.95,643,96.69,604,90.83
ITO,2025,6,651,645,99.08,636,97.7,617,94.78
ITO,2025,7,522,515,98.66,498,95.4,452,86.59
ITO,2025,8,619,612,98.87,607,98.06,589,95.15
ITO,2025,9,713,706,99.02,706,99.02,706,99.02
ITO,2025,10,736,728,98.91,728,98.91,728,98.91
ITO,2025,11,717,714,99.58,714,99.58,714,99.58
ITO,2025,12,722,718,99.45,708,98.06,676,93.63
Jahangirpuri,2025,1,646,641,99.23,630,97.52,594,91.95
Jahangirpuri,2025,2,672,672,100.0,672,100.0,672,100.0
Jahangirpuri,2025,3,737,731,99.19,730,99.05,730,99.05
Jahangirpuri,2025,4,689,680,98.69,673,97.68,658,95.5
Jahangirpuri,2025,5,735,730,99.32,726,98.78,726,98.78
Jahangirpuri,2025,6,710,704,99.15,700,98.59,699,98.45
Jahangirpuri,2025,7,711,707,99.44,702,98.73,685,96.34
Jahangirpuri,2025,8,738,732,99.19,727,98.51,709,96.07
Jahangirpuri,2025,9,684,676,98.83,676,98.83,676,98.83
Jahangirpuri,2025,10,738,732,99.19,732,99.19,732,99.19
Jahangirpuri,2025,11,700,696,99.43,691,98.71,680,97.14
Jahangirpuri,2025,12,741,737,99.46,732,98.79,714,96.36
Punjabi Bagh,2025,1,334,330,98.8,321,96.11,290,86.83
Punjabi Bagh,2025,2,656,655,99.85,650,99.09,640,97.56
Punjabi Bagh,2025,3,737,731,99.19,730,99.05,730,99.05
Punjabi Bagh,2025,4,692,684,98.84,678,97.98,664,95.95
Punjabi Bagh,2025,5,632,624,98.73,609,96.36,575,90.98
Punjabi Bagh,2025,6,634,627,98.9,608,95.9,557,87.85
Punjabi Bagh,2025,7,739,735,99.46,734,99.32,735,99.46
Punjabi Bagh,2025,8,627,615,98.09,591,94.26,562,89.63
Punjabi Bagh,2025,9,697,689,98.85,684,98.13,674,96.7
Punjabi Bagh,2025,10,631,623,98.73,618,97.94,600,95.09
Punjabi Bagh,2025,11,717,714,99.58,714,99.58,714,99.58
Punjabi Bagh,2025,12,742,739,99.6,734,98.92,716,96.5
R K Puram,2025,1,742,740,99.73,740,99.73,740,99.73
R K Puram,2025,2,672,672,100.0,672,100.0,672,100.0
