feature,train_mean,train_std,train_p50,val_mean,val_std,val_p50,test_mean,test_std,test_p50,mean_shift_%,ks_stat,ks_pval
target_aqi_24h,177.95885588558855,90.550055105849,160.0,190.57559958289886,104.19560063760336,152.0,379.2189795918367,56.20868867260376,388.0,222.26391938093477,0.7900218899440965,0.0
aqi_curr,178.72560506050604,90.78848499366474,161.0,186.79770594369134,104.03556931106915,146.0,377.29826530612246,56.89862326070096,385.0,218.72007048852709,0.7806648930199143,0.0
aqi_lag_12h,179.08966083460732,90.62795488492038,161.0,185.67429971242944,104.09109629614751,144.0,375.95095311695,57.94154160690225,384.0,217.21914701749913,0.7735022732350563,0.0
aqi_lag_168h,181.49505692031155,89.66782259713347,165.0,161.612850262697,94.1218263126985,127.0,372.49144153433696,56.959049125366306,378.0,213.00435070416904,0.7813782152707389,0.0
aqi_lag_1h,178.77402085875957,90.78838748117687,161.0,186.75334527447055,103.97056180452286,146.0,377.2089353417358,57.03285333906867,385.0,218.56858363880437,0.7795523963763241,0.0
aqi_lag_24h,179.27173725647953,90.4092078637393,162.0,184.26395011289108,103.7191705730041,143.0,375.2584316159735,57.92382785343472,383.0,216.77733641593525,0.7740987759038799,0.0
aqi_lag_2h,178.81872044506258,90.77862393511079,161.0,186.63804198755142,103.94380873707131,146.0,377.09298749231084,57.12976432956406,385.0,218.4151252914602,0.7789681691160262,0.0
aqi_lag_3h,178.8771538504433,90.7681070687028,161.0,186.59533361486487,103.98981858180936,146.0,376.9719971279105,57.231042445964384,385.0,218.24275932432124,0.7782495205009594,0.0
aqi_lag_48h,179.90758404094453,90.27103527961786,162.0,179.88103485602943,101.74458308962339,139.0,374.9035522511359,57.52825340538569,382.0,216.01164316441032,0.7747216003853682,0.0
aqi_lag_6h,178.95550259357913,90.70787591117163,161.0,186.28010166260722,104.0472647978557,145.0,376.6212634822804,57.52124039174545,385.0,217.91463763390024,0.7764303027854865,0.0
aqi_lag_72h,180.102140277737,90.51590142220985,162.0,176.38477433387712,101.23867208814018,135.0,373.2919248244527,57.61496526695213,380.0,213.43185028053838,0.7738782574660344,0.0
co_curr,1.2505882517014393,0.9599874900072659,1.0,1.4002888700084963,0.9383188667651373,1.14,2.2595757825370675,1.58822943796823,1.79,105.10314259550736,0.3618483897097733,0.0
co_lag_12h,1.252459733600847,0.9585557935769258,1.01,1.396737814590634,0.9312313123956314,1.15,2.2523210612916498,1.5819387985643547,1.78,104.30805421918731,0.35877237904490866,0.0
co_lag_1h,1.2515251589869463,0.9606434438322968,1.0,1.3991163976210705,0.9364144817426955,1.14,2.2594605168331103,1.5894633357672563,1.79,104.92184921809549,0.36115353958853386,0.0
co_lag_24h,1.2500198623622223,0.9583410107895778,1.0,1.3878271999999998,0.9237492735028221,1.14,2.242289864029666,1.5825461160316012,1.77,103.53930767495308,0.35491263486083685,0.0
co_lag_6h,1.2510893932634397,0.9596272468959578,1.0,1.3977330643448713,0.9388500000532319,1.14,2.258697128743439,1.5890286572151546,1.79,104.99881478540011,0.3611272052854424,0.0
no2_curr,43.939689188436475,36.54034904161854,36.1,40.49585080602676,26.690891686303463,34.52,71.87229760196763,40.39834972316831,64.7,76.4431689949095,0.33796789451155895,0.0
no2_lag_12h,44.03675844980233,36.57493985420338,36.2,40.35822278374395,26.544916704787838,34.28,71.5818780063453,39.34979590197361,64.62,75.31143492019675,0.3359615009999949,0.0
no2_lag_1h,43.96382346387388,36.56989487396829,36.11,40.49238095238095,26.709713663416856,34.5,71.84360012297601,40.34645183598652,64.7,76.23694060781632,0.3377439683479871,0.0
