dimension_type,dimension_value,sample_count,mean_observed,mean_predicted,bias,mae,rmse,r2,mape,naive_mae,naive_rmse
Overall,All Test Samples,9800,379.2189795918367,283.6427022223427,-95.57627736949405,98.23663748783153,109.78856705534008,-2.8155016402637765,24.968440477946825,38.34214285714286,50.74699448223108
Station,Anand Vihar,1347,388.38752783964367,295.3613049700848,-93.02622286955884,94.81634736119412,105.87449936843718,-2.6423706018173876,23.331729087924614,38.87824795842613,49.61053214567732
Station,Bawana,1430,393.2755244755245,288.83131548928685,-104.44420898623763,105.16813731871639,118.31947269725363,-5.111295798957287,25.62090675072145,34.116083916083916,45.61569475949707
Station,Dwarka-Sector 8,1430,361.8188811188811,275.9295025487545,-85.88937857012661,90.54760101031604,100.74335771081348,-2.2188473951396364,24.282496401227462,40.16783216783217,53.85347902222477
Station,ITO,1390,369.28489208633096,264.6324797956813,-104.6524122906496,106.67886223167604,117.03323144441404,-2.91992108452002,28.30440878464494,35.8,49.71764882128424
Station,Jahangirpuri,1394,394.4426111908178,294.1887063634646,-100.25390482735324,102.37759167005456,114.28117559490089,-3.411297502466999,24.905336390122688,36.31994261119082,48.04911404089338
Station,Punjabi Bagh,1430,375.55454545454546,283.8685857070509,-91.68595974749459,95.38175470744045,106.58665155189466,-2.574389993002094,24.378391577630087,41.86013986013986,54.910403818879786
Station,R K Puram,1379,372.15445975344454,283.08089415671185,-89.07356559673268,92.62801388903449,104.30403759887653,-2.6387314236408654,23.914970268788206,41.266134880348076,52.72544398864608
Month,November,4881,378.8178651915591,264.1447272163988,-114.67313797516029,116.97752321704864,126.55895342755767,-4.148918251259678,29.94553498858029,36.733661135013314,49.99604778479565
Month,December,4919,379.6169953242529,302.9900524976044,-76.62694282664854,79.6405278630483,90.11387194403275,-1.5323461295271574,20.029794755970414,39.938198820898556,51.48131385221629
AQI_Bin,<100,6,90.5,215.75178884117506,125.25178884117504,125.25178884117504,125.44551957152841,-437.1413934265629,139.5161695197154,221.5,221.58783059244627
AQI_Bin,100-200,43,175.58139534883722,217.307934146343,41.72653879750582,45.79647504966558,50.32816510342096,-6.229977292550683,27.19355946848685,109.48837209302326,114.1826362395117
AQI_Bin,200-300,804,269.0547263681592,262.0079904740538,-7.0467358941053755,32.09701373603113,41.322159980085026,-1.6402240978660854,12.151817377404422,66.85820895522389,82.89086513234169
AQI_Bin,300-400,4918,357.7126880845872,280.1027167292889,-77.60997135529838,77.74510651456569,86.99357908959841,-8.875618895743244,21.33453067650935,38.043310288735256,48.563167653497274
AQI_Bin,400-500,4029,430.0575825266816,293.0901327033598,-136.96744982332172,136.96744982332172,140.31977717882654,-40.178829522176535,31.76743945671618,31.984363365599403,42.44797963894331
Extreme_Threshold,AQI >= 300,8964,390.1197010263275,285.9339020407191,-104.18579898560843,104.26559355524147,114.03337070919359,-5.689627620386862,25.999821425216968,35.31883087907184,45.90576119835458
Extreme_Threshold,AQI < 300,836,262.3361244019139,259.075339576498,-3.260784825415893,33.591228171727806,43.200765025726625,-0.48844345361607067,13.909470607935365,70.75956937799043,87.13500085043749
Extreme_Threshold,AQI >= 400,4107,429.4867299732165,293.0049281723751,-136.48180180084134,136.48180180084134,139.87466779133567,-39.265232245555914,31.693021605936817,31.908692476260043,42.35800266276454
Extreme_Threshold,AQI < 400,5693,342.9552081503601,276.8886776348171,-66.066530515543,70.64610704104929,81.45378003857782,-2.403101525158867,20.117245204338012,42.98331284033023,56.02429462219925
