model,split,horizon,n_samples,mae,rmse,r2,mape,extreme_mae,directional_accuracy
Naive Persistence,train,1h,37676,3.012,7.378,0.9935,1.86,3.513,20.88
24h Seasonal Persistence,train,1h,37516,35.717,49.006,0.7087,22.66,48.769,31.55
24h Moving Average,train,1h,36969,19.907,27.795,0.9065,12.49,26.096,26.45
Naive Persistence,train,6h,37281,13.294,20.356,0.9502,8.28,15.988,3.85
24h Seasonal Persistence,train,6h,37157,35.548,48.753,0.7111,22.53,48.397,39.65
24h Moving Average,train,6h,36583,25.853,35.719,0.8448,16.28,34.604,37.89
Naive Persistence,train,24h,36360,35.044,48.105,0.7178,22.31,47.749,1.34
24h Seasonal Persistence,train,24h,36360,35.044,48.105,0.7178,22.31,47.749,1.34
24h Moving Average,train,24h,35721,39.641,53.739,0.6456,25.4,56.973,49.31
Naive Persistence,val,1h,9750,2.481,5.226,0.9975,1.55,3.078,23.97
24h Seasonal Persistence,val,1h,9750,30.109,42.701,0.8323,19.44,34.479,29.65
24h Moving Average,val,1h,9651,16.962,24.582,0.9442,10.83,19.811,25.83
Naive Persistence,val,6h,9710,11.22,17.294,0.9724,7.09,13.52,4.99
24h Seasonal Persistence,val,6h,9710,30.321,42.927,0.83,19.44,34.351,38.56
24h Moving Average,val,6h,9611,22.135,31.653,0.9071,14.14,25.37,38.21
Naive Persistence,val,24h,9590,30.708,43.566,0.8252,19.06,35.889,1.82
24h Seasonal Persistence,val,24h,9590,30.708,43.566,0.8252,19.06,35.889,1.82
24h Moving Average,val,24h,9494,33.852,46.176,0.8026,21.48,37.779,49.1
Naive Persistence,test,1h,10057,2.398,3.817,0.9955,0.68,2.263,20.61
24h Seasonal Persistence,test,1h,10057,39.022,51.771,0.1633,11.28,35.743,26.7
24h Moving Average,test,1h,10002,21.473,28.69,0.7426,6.16,20.085,21.05
Naive Persistence,test,6h,9998,12.721,17.58,0.9024,3.63,11.945,3.44
24h Seasonal Persistence,test,6h,9998,38.853,51.518,0.1619,11.2,35.786,34.09
24h Moving Average,test,6h,9943,28.395,37.724,0.5503,8.16,26.442,32.1
Naive Persistence,test,24h,9800,38.342,50.747,0.1848,11.04,35.319,0.95
24h Seasonal Persistence,test,24h,9800,38.342,50.747,0.1848,11.04,35.319,0.95
24h Moving Average,test,24h,9745,44.994,58.708,-0.0877,12.95,40.736,45.39
Naive Persistence,full_year,1h,57483,2.814,6.547,0.9968,1.6,2.748,21.35
24h Seasonal Persistence,full_year,1h,57323,35.343,48.499,0.8259,20.12,39.46,30.38
24h Moving Average,full_year,1h,56622,19.681,27.437,0.9443,11.09,21.847,25.39
Naive Persistence,full_year,6h,56989,12.84,19.397,0.9722,7.26,13.366,3.97
24h Seasonal Persistence,full_year,6h,56865,35.237,48.316,0.8272,20.01,39.342,38.49
24h Moving Average,full_year,6h,56137,25.666,35.427,0.9071,14.48,28.722,36.92
Naive Persistence,full_year,24h,55750,34.878,47.837,0.8306,19.77,39.028,1.36
24h Seasonal Persistence,full_year,24h,55750,34.878,47.837,0.8306,19.77,39.028,1.36
24h Moving Average,full_year,24h,54960,39.59,53.445,0.7884,22.52,45.004,48.58
