horizon,feature,group,pearson_r,abs_r
1h,aqi_curr,Group A: Recent AQI Lags,0.9984,0.9984
1h,aqi_roll_mean_3h,Group C: Causal Rolling Statistics,0.9972,0.9972
1h,aqi_roll_min_3h,Group C: Causal Rolling Statistics,0.9968,0.9968
1h,aqi_lag_1h,Group A: Recent AQI Lags,0.9966,0.9966
1h,aqi_roll_max_3h,Group C: Causal Rolling Statistics,0.9963,0.9963
1h,aqi_roll_mean_6h,Group C: Causal Rolling Statistics,0.9946,0.9946
1h,aqi_lag_2h,Group A: Recent AQI Lags,0.9944,0.9944
1h,aqi_roll_min_6h,Group C: Causal Rolling Statistics,0.9935,0.9935
1h,aqi_roll_max_6h,Group C: Causal Rolling Statistics,0.9921,0.9921
1h,aqi_lag_3h,Group A: Recent AQI Lags,0.9919,0.9919
1h,aqi_roll_mean_12h,Group C: Causal Rolling Statistics,0.9878,0.9878
1h,aqi_roll_min_12h,Group C: Causal Rolling Statistics,0.9856,0.9856
1h,aqi_lag_6h,Group A: Recent AQI Lags,0.9829,0.9829
1h,aqi_roll_max_12h,Group C: Causal Rolling Statistics,0.9814,0.9814
1h,aqi_roll_mean_24h,Group C: Causal Rolling Statistics,0.9719,0.9719
1h,aqi_roll_min_24h,Group C: Causal Rolling Statistics,0.9675,0.9675
1h,aqi_lag_12h,Group A: Recent AQI Lags,0.9603,0.9603
1h,aqi_roll_max_24h,Group C: Causal Rolling Statistics,0.9588,0.9588
1h,top_neighbor_aqi_lag_1h,Group G: Cross-Station Spatial,0.9577,0.9577
1h,network_min_aqi_lag_1h,Group G: Cross-Station Spatial,0.9521,0.9521
1h,network_mean_aqi_lag_1h,Group G: Cross-Station Spatial,0.9426,0.9426
1h,network_max_aqi_lag_1h,Group G: Cross-Station Spatial,0.9412,0.9412
1h,pm25_roll_mean_24h,Group C: Causal Rolling Statistics,0.9391,0.9391
1h,aqi_lag_24h,Group A: Recent AQI Lags,0.9112,0.9112
1h,pm25_roll_mean_12h,Group C: Causal Rolling Statistics,0.8895,0.8895
1h,pm25_roll_max_24h,Group C: Causal Rolling Statistics,0.8755,0.8755
1h,aqi_lag_48h,Group A: Recent AQI Lags,0.8556,0.8556
1h,pm25_roll_max_12h,Group C: Causal Rolling Statistics,0.8541,0.8541
1h,pm25_roll_min_24h,Group C: Causal Rolling Statistics,0.8517,0.8517
1h,pm25_roll_mean_6h,Group C: Causal Rolling Statistics,0.8355,0.8355
1h,pm25_roll_min_12h,Group C: Causal Rolling Statistics,0.8284,0.8284
1h,aqi_lag_72h,Group A: Recent AQI Lags,0.8203,0.8203
1h,pm25_roll_max_6h,Group C: Causal Rolling Statistics,0.8194,0.8194
1h,pm25_lag_12h,Group B: Pollutant Lags,0.8117,0.8117
1h,pm25_roll_min_6h,Group C: Causal Rolling Statistics,0.808,0.808
1h,pm25_lag_6h,Group B: Pollutant Lags,0.8038,0.8038
1h,pm25_roll_mean_3h,Group C: Causal Rolling Statistics,0.8013,0.8013
1h,pm25_roll_min_3h,Group C: Causal Rolling Statistics,0.7929,0.7929
1h,pm25_roll_max_3h,Group C: Causal Rolling Statistics,0.7924,0.7924
1h,network_mean_pm25_lag_1h,Group G: Cross-Station Spatial,0.79,0.79
1h,pm25_lag_1h,Group B: Pollutant Lags,0.7858,0.7858
1h,pm10_lag_12h,Group B: Pollutant Lags,0.7849,0.7849
1h,aqi_lag_168h,Group A: Recent AQI Lags,0.7833,0.7833
1h,pm25_curr,Group B: Pollutant Lags,0.7794,0.7794
1h,pm25_lag_24h,Group B: Pollutant Lags,0.7773,0.7773
1h,pm10_lag_6h,Group B: Pollutant Lags,0.7771,0.7771
1h,pm25_roll_std_24h,Group C: Causal Rolling Statistics,0.7704,0.7704
1h,cos_doy,Group D: Temporal & Cyclical,0.7696,0.7696
1h,pm10_lag_1h,Group B: Pollutant Lags,0.7582,0.7582
1h,top_neighbor_pm25_lag_1h,Group G: Cross-Station Spatial,0.758,0.758
1h,pm10_curr,Group B: Pollutant Lags,0.7505,0.7505
1h,pm10_lag_24h,Group B: Pollutant Lags,0.748,0.748
1h,cos_month,Group D: Temporal & Cyclical,0.7213,0.7213
1h,pm25_roll_std_12h,Group C: Causal Rolling Statistics,0.6706,0.6706
1h,temp_roll_mean_24h,Group F: Meteorology,-0.6541,0.6541
1h,is_monsoon,Group E: Seasonality Indicators,-0.6277,0.6277
1h,temp_roll_mean_6h,Group F: Meteorology,-0.6036,0.6036
1h,temp_lag_24h,Group F: Meteorology,-0.5908,0.5908
1h,temp_lag_6h,Group F: Meteorology,-0.5896,0.5896
1h,temp_curr,Group F: Meteorology,-0.5882,0.5882
1h,temp_lag_1h,Group F: Meteorology,-0.5882,0.5882
1h,pm25_roll_std_6h,Group C: Causal Rolling Statistics,0.5522,0.5522
1h,is_winter,Group E: Seasonality Indicators,0.4993,0.4993
1h,co_lag_12h,Group B: Pollutant Lags,0.4736,0.4736
1h,co_lag_6h,Group B: Pollutant Lags,0.4637,0.4637
1h,co_lag_24h,Group B: Pollutant Lags,0.4617,0.4617
1h,co_lag_1h,Group B: Pollutant Lags,0.445,0.445
1h,co_curr,Group B: Pollutant Lags,0.4396,0.4396
1h,pm25_roll_std_3h,Group C: Causal Rolling Statistics,0.438,0.438
1h,no2_lag_12h,Group B: Pollutant Lags,0.4308,0.4308
1h,no2_lag_6h,Group B: Pollutant Lags,0.4233,0.4233
1h,no2_lag_24h,Group B: Pollutant Lags,0.4196,0.4196
1h,nox_lag_12h,Group B: Pollutant Lags,0.418,0.418
1h,no2_lag_1h,Group B: Pollutant Lags,0.4091,0.4091
1h,nox_lag_6h,Group B: Pollutant Lags,0.406,0.406
1h,no2_curr,Group B: Pollutant Lags,0.4055,0.4055
1h,nox_lag_24h,Group B: Pollutant Lags,0.405,0.405
1h,nox_lag_1h,Group B: Pollutant Lags,0.3877,0.3877
1h,is_post_monsoon,Group E: Seasonality Indicators,0.3833,0.3833
1h,nox_curr,Group B: Pollutant Lags,0.3828,0.3828
1h,solar_rad_roll_mean_24h,Group F: Meteorology,-0.2428,0.2428
1h,sin_month,Group D: Temporal & Cyclical,-0.2367,0.2367
1h,day_of_year,Group D: Temporal & Cyclical,0.2022,0.2022
1h,month,Group D: Temporal & Cyclical,0.1957,0.1957
1h,so2_lag_12h,Group B: Pollutant Lags,0.1607,0.1607
1h,so2_lag_6h,Group B: Pollutant Lags,0.1575,0.1575
1h,so2_lag_1h,Group B: Pollutant Lags,0.1542,0.1542
1h,so2_curr,Group B: Pollutant Lags,0.1525,0.1525
1h,so2_lag_24h,Group B: Pollutant Lags,0.1516,0.1516
1h,aqi_roll_std_24h,Group C: Causal Rolling Statistics,0.1484,0.1484
1h,is_summer,Group E: Seasonality Indicators,-0.1455,0.1455
1h,wind_speed_roll_mean_24h,Group F: Meteorology,-0.1134,0.1134
1h,aqi_roll_std_12h,Group C: Causal Rolling Statistics,0.107,0.107
1h,wind_speed_lag_24h,Group F: Meteorology,-0.0958,0.0958
1h,wind_speed_lag_6h,Group F: Meteorology,-0.0927,0.0927
1h,wind_speed_roll_mean_6h,Group F: Meteorology,-0.0926,0.0926
1h,solar_rad_roll_mean_6h,Group F: Meteorology,-0.0886,0.0886
